objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142640.78+331414.4,216.6696608,33.2371375,0.130512,1.3462e-05,SPEC,False,,,,616.41473,0.057985723,Redshift,0.007848129,,,22.8354,0.2081,,,1.710325842902401e+42,3.2782428564032303e+41,,,,,,,,,,,,,16.652,99.0,15.978,99.0,12.697,99.0,9.411,99.0,2.7519256619154627e+42,,2.0686211961660744e+42,,3.115728673003699e+42,,8.879004913159948e+42,,1.7346323742823553,,,,,5164371124.602704,
WISEA J142706.60+343556.8,216.7775218,34.5991346,0.150415,3.55337e-05,SPEC,False,,,,719.43243,0.15305655,Redshift,0.012714085,,,,,,,,,,,,,,,,,,,,,15.438,0.09,15.765,99.0,12.355,99.0,9.315,99.0,1.1477754911652032e+43,9.514579993419477e+41,3.4307157644495784e+42,,5.816959116919651e+42,,1.3214534515600627e+43,,2.5816360736390913,,,,,34543831932.71279,2863539557.456254
WISEA J142643.99+343621.5,216.6830908,34.6064052,0.181603,5.32057e-06,SPEC,False,,,,885.3323,0.022917626,Redshift,0.010776677,21.609,0.133119,22.2941,0.185652,1.6563898302264594e+43,2.0309197158027423e+42,5.951034382982982e+42,1.0176120533080244e+42,,,,,,,,,,,,,15.905,0.138,15.667,0.341,12.837,99.0,9.286,99.0,1.1301485741089916e+43,1.436497055367177e+42,5.684735690033941e+42,1.785479039770092e+42,5.65050837156587e+42,,2.0552420897234737e+43,,4.015190328972663,,4.265866449188842,,,28333040393.09465,3601325527.165121
SDSS J142837.38+325939.7,217.15595791667,32.99442277778,0.196,,SPEC,False,,,,963.70935,,Redshift,0.0063252226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142821.70+342837.5,217.09043,34.477102,0.159868,2.27866e-05,SPEC,False,,,,769.1464,0.098150164,Redshift,0.011634654,,,,,,,,,15.304,0.171,14.562,0.116,13.8,0.162,2.0881058656923304e+44,3.2888100561770527e+43,1.967770498344384e+44,2.1024350531227297e+43,1.986593308393089e+44,2.964245127733662e+43,13.478,0.019,13.3,0.037,10.352,0.077,8.91,0.424,7.97644874876976e+43,1.3958967335676652e+42,3.7963191224178933e+43,1.2937625369847891e+42,4.2064045869684335e+43,2.983265647507927e+42,2.1931996454440647e+43,8.565133533606814e+42,4.2847088671087485,1.6733134019810136,,,,252419264201.57468,4417394726.479953
WISEA J142827.36+332654.7,217.1140055,33.448551,0.128486,1.92337e-05,SPEC,False,,,,606.0555,0.08284652,Redshift,0.009909621,,,,,,,,,16.758,99.0,16.905,0.413,14.891,0.129,3.393120062291825e+43,,1.4106900857382665e+43,5.366260659628077e+42,4.513109506247602e+43,5.362356483027443e+42,14.466,0.031,14.164,0.108,10.651,0.096,9.36,0.536,1.9928686310063474e+43,5.690239120955787e+41,1.063345589047961e+43,1.0577628696402604e+42,1.9828125918164492e+43,1.753246888578605e+42,8.996347386018079e+42,4.4414130403847657e+42,1.7575567959139256,0.8676894452431817,,,,63065463006.529976,1800708582.5809453
SDSS J142425.27+340646.5,216.1053057,34.1128875,0.127895,6.84979e-06,SPEC,False,,,,603.0381,0.029504532,Redshift,0.014499296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142807.11+321954.4,217.0296571,32.3317871,0.12103976,1.837526e-05,SPEC,False,,,,568.18604,0.07914892,Redshift,0.010017567,,,22.1939,0.144531,,,2.6712348661603477e+42,3.556011929703971e+41,15.152,0.149,14.58,0.218,13.983,0.194,1.3091508787280461e+44,1.7966610475307786e+43,1.0553832065395327e+44,2.1191260109048665e+43,9.154765149755438e+43,1.635833332704044e+43,13.839,0.025,13.445,0.042,10.127,0.054,8.064,0.174,3.1206404649100467e+43,7.185779820229943e+41,1.8123269698728324e+43,7.01093553472752e+41,2.8238420759636405e+43,1.404508286793683e+42,2.6086962399102495e+43,4.180833602113327e+42,5.096437040720727,0.8167817664977847,,,,98754445092.09009,2273980955.768969
WISEA J142347.40+351112.0,215.9475028,35.1866875,0.19319774,3.4074903e-05,SPEC,False,701.2045,165.4411,FP,948.3666,0.14677298,Redshift,0.018915541,,,,,,,,,14.848,0.129,13.661,0.108,13.334,0.123,4.857946891383628e+44,5.772083562781227e+43,6.883083042634099e+44,6.846946040408267e+43,4.650013577645635e+44,5.268045034692812e+43,12.652,0.012,12.422,0.018,11.315,0.262,8.629,99.0,2.5984922787764368e+44,2.872055291377223e+42,1.2968824388009473e+44,2.150122631631021e+42,2.635117212087512e+43,6.359037414928015e+42,4.3200898504429923e+43,,8.439873372837313,,,,,822307683157.1002,9088782567.649439
WISEA J142413.95+350640.3,216.0581472,35.1111986,0.157283,1.44158e-05,SPEC,False,,,,755.50195,0.062094085,Redshift,0.020464653,,,21.6453,0.0963702,,,8.534850892567136e+42,7.575805609769634e+41,16.409,0.292,15.954,0.323,15.093,0.281,7.329500774548422e+43,1.9712757555299392e+43,5.289503151439278e+43,1.5736479487224864e+43,5.842349830679146e+43,1.5121122908837028e+43,14.214,0.04,13.845,0.054,10.553,0.095,8.179,0.226,3.9134827271445427e+43,1.4418281987655102e+42,2.2197556034478241e+43,1.1040509112868667e+42,3.374042926312231e+43,2.952326711584744e+42,4.1498126030750425e+43,8.638275409584196e+42,8.107213994025221,1.687602645790088,,,,121321428082.77628,4469795021.987533
