filename,area_50_deg2,area_90_deg2,total_area_deg2,area_50_sr,area_90_sr,total_area_sr,comoving_volume_50_Mpc3,comoving_volume_90_Mpc3,comoving_volume_total_Mpc3,expected_mass_50_Msun,expected_mass_90_Msun,expected_mass_total_Msun,expected_mass_50_err,expected_mass_90_err,expected_mass_total_err,observed_mass_50_Msun,observed_mass_90_Msun,observed_mass_total_Msun,num_galaxies_50,num_galaxies_90,num_galaxies_total,ratio_theory_50,ratio_theory_90,ratio_theory_total,ratio_obs_50,ratio_obs_90,ratio_obs_total
fisher_EC_m1_50.0_m2_50.0_result.json,0.026228,0.078684,0.236051,7.989483270237714e-06,2.396844981071314e-05,7.190534943213943e-05,20340.270042540495,61020.81012762148,183062.43038286446,8038205735547.82,24114617206643.46,72343851619930.39,327.20982203330544,981.6294660999164,2944.8883982997495,49316031850.94247,49316031850.94247,124623910835.9043,1,1,2,0.006135203983750918,0.002045067994583639,0.0006816893315278798,1.0,1.0,0.39571885940795287
fisher_EC_m1_40.0_m2_40.0_result.json,0.026228,0.104912,0.288507,7.989483270237714e-06,3.1957933080950855e-05,8.788431597261484e-05,20340.270042540495,81361.08017016198,223742.97046794542,8038205735547.82,32152822942191.28,88420263091026.02,327.20982203330544,1308.8392881332218,3599.3080423663596,49316031850.94247,49316031850.94247,124623910835.9043,1,1,2,0.006135203983750918,0.0015338009959377295,0.000557745816704629,1.0,1.0,0.39571885940795287
fisher_EC_m1_30.0_m2_30.0_result.json,0.039342,0.118026,0.380305,1.198422490535657e-05,3.5952674716069715e-05,0.00011584750741844685,30510.40506381074,91531.21519143223,294933.91561683716,12057308603321.73,36171925809965.195,116553983165443.39,490.8147330499582,1472.4441991498747,4744.542419482929,49316031850.94247,124623910835.9043,819474532662.746,1,2,3,0.004090135989167278,0.0013633786630557595,0.000423117516120753,1.0,0.39571885940795287,0.060180066475889415
fisher_EC_m1_20.0_m2_20.0_result.json,0.052456,0.144254,0.432761,1.5978966540475428e-05,4.394215798630742e-05,0.00013182647395892227,40680.54008508099,111871.48523397271,335614.4557019181,16076411471095.64,44210131545513.01,132630394636539.02,654.4196440666109,1799.6540211831798,5398.962063549539,49316031850.94247,49316031850.94247,819474532662.746,1,1,3,0.003067601991875459,0.001115491633409258,0.00037183054446975267,1.0,1.0,0.060180066475889415
fisher_EC_m1_10.0_m2_10.0_result.json,0.078684,0.262279,0.747496,2.396844981071314e-05,7.989483270237714e-05,0.00022770027320177482,61020.81012762148,203402.70042540494,579697.6962124041,24114617206643.46,80382057355478.2,229088863463112.88,981.6294660999164,3272.0982203330545,9325.479927949205,49316031850.94247,49316031850.94247,430808407335.0592,1,1,5,0.002045067994583639,0.0006135203983750918,0.00021527031521933047,1.0,1.0,0.11447323453134738
fisher_EC_m1_5.0_m2_5.0_result.json,0.170482,0.537672,1.429422,5.1931641256545146e-05,0.00016378440703987312,0.0004354268382279554,132211.75527651323,416975.5358720801,1108544.7173184569,52248337281060.836,164783217578730.28,438082212587356.2,2126.8638432164857,6707.8013516827605,17832.935300815145,2476030048504.8965,1859010205301.336,3021236574640.6333,16,10,21,0.0009438775359616796,0.00029927824310980094,0.00011257255016056731,0.019917380195252885,0.02652811249250167,0.016323128173704324
