objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142710.87+345657.6,216.7953653,34.949405,0.192387,5.27763e-05,SPEC,False,,,,943.9355,0.22732669,Redshift,0.010975406,,,,,,,,,,,,,,,,,,,,,15.831,0.124,15.725,0.371,12.432,99.0,8.724,99.0,1.3753807915866498e+43,1.570850120996157e+42,6.126229757371457e+42,2.093424564072145e+42,9.327473592712077e+42,,3.9204626515852684e+43,,7.659148186217639,,,,,27684697106.677666,3161925051.2869167
WISEA J142505.44+351518.5,216.27253791667,35.25505583333,0.176,,PHOT,False,,,,855.13293,,Redshift,0.01884902,23.5094,99.0,23.0044,0.223824,2.849133601359913e+42,,3.0856344777447775e+42,6.361233082857638e+41,,,,,,,,,,,,,15.618,0.111,15.575,0.378,12.251,0.511,8.672,99.0,1.3754063945685373e+43,1.4061905291169945e+42,5.77846001328725e+42,2.011842819379493e+42,9.047168869079167e+42,4.25817664054901e+42,3.376032483279575e+43,,6.595531030111179,,5.930614436281343,,,29946406305.66082,3061666216.9379864
WISEA J142835.06+324610.0,217.1460481,32.7694486,0.150484,7.77775e-06,SPEC,False,,,,719.7935,0.033501595,Redshift,0.006029067,,,,,,,,,,,,,,,,,,,,,16.527,99.0,16.219,99.0,11.8,99.0,9.387,99.0,4.208829678129257e+42,,2.2586575197299876e+42,,9.70488369348051e+42,,1.2376968381958377e+43,,2.4180063262487064,,,,,8327590983.439725,
WISEA J142530.86+344023.2,216.3785855,34.6731255,0.184788,6.38729e-05,SPEC,False,,,,902.57513,0.27512378,Redshift,0.010293286,22.4987,0.263908,22.366,0.229483,7.559430454590391e+42,1.8375189314647076e+42,5.765654209141538e+42,1.218678705888699e+42,16.194,0.144,15.531,0.205,14.534,0.099,1.2655081765130155e+44,1.6784854727455668e+43,1.109306155510933e+44,2.0945726378438347e+43,1.3908189567411475e+44,1.268223862696917e+43,13.461,0.026,13.321,0.044,11.772,99.0,9.173,99.0,1.1154525520141683e+44,2.671250474797608e+42,5.126689762165127e+43,2.0776858596807866e+42,1.5661424837368883e+43,,2.3703475447575585e+43,,4.630790983506562,,4.409654987598145,,,352991313928.53424,8453324287.334203
GALEXASC J142625.92+345910.2,216.6074056,34.986119,0.117845,4.10263e-06,SPEC,False,,,,552.0374,0.017671516,Redshift,0.011232559,20.8851,99.0,20.8413,0.213314,1.2586569416594837e+43,,8.852699976247833e+42,1.739343052868125e+42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142441.08+340952.5,216.17109791667,34.16467083333,0.186,,PHOT,False,,,,909.151,,Redshift,0.014146237,,,,,,,,,,,,,,,,,,,,,14.973,0.063,15.18,0.297,12.493,99.0,9.015,99.0,2.8136029922387015e+43,1.6326516392728668e+42,9.391957288398038e+42,2.5692281416902246e+42,8.181217797147708e+42,,2.7820167996473945e+43,,5.435041937315827,,,,,89038069374.64246,5166619111.622996
SDSS J142449.51+340441.2,216.2062784,34.0780421,0.141321,2.09389e-05,SPEC,False,,,,672.0818,0.090191446,Redshift,0.013459401,21.8527,0.137859,21.8495,0.123558,7.778707983269919e+42,9.877175058833553e+41,5.280893187513796e+42,6.009916340118936e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDWFS J142455.97+353206.0,216.23316791667,35.53496194444,0.14,,PHOT,False,,,,665.24274,,Redshift,0.012264038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142645.99+340950.1,216.6916373,34.1639389,0.131457,4.28455e-06,SPEC,False,,,,621.2548,0.018455112,Redshift,0.01286472,22.2042,0.167972,21.8015,0.10835,4.7873713874302255e+42,7.40668981409156e+41,4.69315471193331e+42,4.683644814919795e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142618.48+342847.3,216.577031,34.4798198,0.17,,SPEC,False,,,,822.98413,,Redshift,0.01227326,,,,,,,,,,,,,,,,,,,,,15.229,0.098,15.625,0.447,11.56,0.317,8.777,99.0,1.8206422799394276e+43,1.6433907792140577e+42,5.106967610923849e+42,2.1026198348571243e+42,1.583031910379026e+43,4.622097452694833e+42,2.838245621796349e+43,,5.5448924624831,,,,,48727515701.13997,4398357155.581701
