objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142314.17+343237.5,215.8089255,34.5437124,0.142221,7.24087e-06,SPEC,False,,,,676.747,0.031189056,Redshift,0.011279664,20.8323,0.0922079,21.1718,0.0848433,1.9865240353420782e+43,1.6871438028129543e+42,9.816585437378999e+42,7.671286215135004e+41,,,,,,,,,,,,,15.951,0.116,15.422,99.0,11.758,99.0,8.589,99.0,6.330170921191838e+42,6.7633769853334705e+41,4.1627288212187484e+42,,8.919452071403906e+42,,2.281964208054193e+43,,4.458122313208244,,4.801607243665417,,,11107552146.198402,1186769891.1176527
WISEA J143022.12+313939.8,217.592187,31.6610587,0.07919848,1.91792e-05,SPEC,False,,,,361.4891,0.08261178,Redshift,0.010686679,,,,,,,,,15.379,0.192,14.298,0.168,13.885,0.163,4.301467791559401e+43,7.606906164680943e+42,5.540577668625351e+43,8.573427477887068e+42,4.056479931395926e+43,6.090137565008049e+42,13.952,0.025,14.11,0.062,12.207,0.35,8.844,99.0,1.1384294364326716e+43,2.621417920162987e+41,3.9763376215680693e+42,2.2707276669212495e+41,1.682921208268252e+42,5.4252776232826e+41,5.148019023578169e+42,,1.0057343755362405,,,,,36026247988.37568,829562632.9629705
WISEA J142752.86+332627.8,216.9702893,33.4410918,0.134974,7.84816e-06,SPEC,False,,,,639.3132,0.033804875,Redshift,0.0073471754,21.7451,0.108091,21.271,0.0622418,7.429392205194558e+42,7.396614354025647e+41,7.739604472853724e+42,4.437016302547609e+41,,,,,,,,,,,,,13.888,0.027,13.81,0.117,10.917,0.109,9.037,0.419,3.774663837861974e+43,9.387116781843293e+41,1.638832313144528e+43,1.766080562449805e+42,1.726751482155164e+43,1.733590351112205e+42,1.347846183426653e+43,5.2016906392028474e+42,2.63319780560039,1.016219843553565,2.6458389063297183,0.8949656216866176,,119451387274.1131,2970606576.5326877
WISEA J142838.27+343033.4,217.1596861,34.5092116,0.129852,1.1675e-06,SPEC,False,,,,613.0375,0.0050288467,Redshift,0.012096944,19.9277,0.0430985,19.5685,0.0243784,3.7728782670673534e+43,1.4977009396200827e+42,3.550903457067326e+43,7.973229274012302e+41,,,,,,,,,,,,,14.931,0.042,14.59,0.1,11.692,0.222,8.837,0.335,1.3292362187217604e+43,5.142112480747902e+41,7.350962285753232e+42,6.770711641938412e+41,7.778158873737913e+42,1.5904496440628727e+42,1.4901825268462357e+43,4.598057906211791e+42,2.9112708912078062,0.8982921150452836,4.229802227052651,0.7933475619039067,,40394064130.7476,1562632874.347874
WISEA J142613.68+321658.9,216.5570233,32.2830451,0.084136814,2.9465738e-05,SPEC,False,,,,385.3367,0.12691964,Redshift,0.009835855,,,21.8282,0.180121,,,1.7180617290211244e+42,2.8503177490624992e+41,15.522,0.075,14.771,0.142,14.713,0.193,4.2818399413670427e+43,2.957889129909416e+42,4.070735085274201e+43,5.3241623912687954e+42,2.1494220512694194e+43,3.82093077663298e+42,14.173,0.023,14.287,0.07,12.075,99.0,8.949,99.0,1.055185557142197e+43,2.235356625168895e+41,3.838186211375185e+42,2.47465250503412e+41,2.1594153523717742e+42,,5.310319711975981e+42,,1.0374419859291446,,,,,33391948010.82902,707391337.0787642
SDSS J142616.39+334740.9,216.568415,33.79479694444,0.149,,PHOT,False,,,,712.0342,,Redshift,0.011343406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142634.66+344226.9,216.6444272,34.7074861,0.159066,5.07452e-05,SPEC,False,,,,764.90924,0.218578,Redshift,0.010703913,,,,,,,,,16.099,0.163,15.576,99.0,14.963,0.334,9.923186905771457e+43,1.4898033068458453e+43,7.645181895014051e+43,,6.729472644923602e+43,2.0702255263644725e+43,13.932,0.038,13.865,0.06,12.157,0.483,9.251,99.0,5.192025482970932e+43,1.817232742153317e+42,2.231069587305049e+43,1.232975746131426e+42,7.89030199883523e+42,3.510192274449783e+42,1.5844160762814209e+43,,3.0953687345951177,,,,,164304603891.48517,5750736525.801636
SDSS J142501.92+354543.9,216.25807916667,35.76212583333,0.099,,PHOT,False,,,,458.0044,,Redshift,0.011835429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142653.99+342153.9,216.7250352,34.3650422,0.187126,1.1755e-05,SPEC,False,,,,915.2674,0.050633054,Redshift,0.011677353,21.5309,0.105851,20.8179,0.0499662,1.9150089920170718e+43,1.8670501033024583e+42,2.4957031181202297e+43,1.1485752032150517e+42,,,,,,,,,,,,,14.936,0.045,15.23,99.0,11.84,99.0,8.875,99.0,2.9491055668941314e+43,1.2223428269192136e+42,9.087474788188372e+42,,1.5128292619077233e+43,,3.207423165749748e+43,,6.266130175338137,,6.361213217198347,,,90603543180.7097,3755328135.541831
WISEA J142807.11+321954.4,217.0296571,32.3317871,0.12103976,1.837526e-05,SPEC,False,,,,568.18604,0.07914892,Redshift,0.010017567,,,22.1939,0.144531,,,2.6712348661603477e+42,3.556011929703971e+41,15.152,0.149,14.58,0.218,13.983,0.194,1.3091508787280461e+44,1.7966610475307786e+43,1.0553832065395327e+44,2.1191260109048665e+43,9.154765149755438e+43,1.635833332704044e+43,13.839,0.025,13.445,0.042,10.127,0.054,8.064,0.174,3.1206404649100467e+43,7.185779820229943e+41,1.8123269698728324e+43,7.01093553472752e+41,2.8238420759636405e+43,1.404508286793683e+42,2.6086962399102495e+43,4.180833602113327e+42,5.096437040720727,0.8167817664977847,,,,98754445092.09009,2273980955.768969
2MASX J14272087+3227502,216.837134,32.464035,0.12919155,2.8977809e-05,SPEC,False,,,,609.66034,0.12481795,Redshift,0.007772835,,,22.0109,0.159568,,,3.5730375100514506e+42,5.251380345960285e+41,15.003,0.148,13.855,0.128,13.463,0.134,1.7260577384945024e+44,2.3529201353644035e+43,2.3667423324864783e+44,2.790301438558022e+43,1.7003186770446513e+44,2.0985787476578604e+43,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142748.28+344601.6,216.9511862,34.7671191,0.0821559,7.3508e-06,SPEC,False,,,,375.75284,0.031662565,Redshift,0.011354512,20.926,0.0688861,20.541,0.039191,5.620890840102047e+42,3.566374145639268e+41,5.413780054418439e+42,1.9542364289430022e+41,16.002,0.126,15.213,0.198,15.254,0.196,2.61967473255069e+43,3.0402412724904784e+42,2.5781247309458757e+43,4.7017468093709313e+42,1.2423861303824943e+43,2.2428633739216104e+42,14.577,0.055,14.762,0.107,11.737,0.36,8.057,99.0,6.917889453142954e+42,3.50450299796221e+41,2.3568619930663614e+42,2.3227797602567334e+41,2.803440990149845e+42,9.295742070077714e+41,1.1483161377033953e+43,,2.243389172382252,,2.222835175976974,,,18037515092.026203,913754493.2446924
WISEA J142333.73+354413.4,215.8905769,35.7370578,0.048510045,1.6466003e-05,SPEC,False,,,,216.67067,0.07092506,Redshift,0.011519538,19.877,0.0423114,19.4592,0.0224979,4.917328349409077e+42,1.916358468532033e+41,4.8821390158894684e+42,1.0116780183583326e+41,15.985,0.209,15.4,99.0,15.007,99.0,8.849070345029171e+42,1.703468489413296e+42,7.216613889854981e+42,,5.186506364327334e+42,,14.245,0.039,14.297,0.101,11.364,0.186,8.792,99.0,3.123074588981675e+42,1.1218558397261821e+41,1.2026488296516524e+42,1.118794723522271e+41,1.3142891621135488e+42,2.251614495851221e+41,1.9402566233851087e+42,,0.3790550840163667,,0.5509497563554699,,,9883147433.486313,355017670.7994247
WISEA J142719.48+324428.8,216.8311873,32.741341,0.1332529,2.3251507e-05,SPEC,False,506.2865,119.4524,FP,630.4671,0.100152686,Redshift,0.0075172503,,,22.7643,0.319516,,,1.905059293141636e+42,5.60649315410136e+41,14.362,0.101,13.704,0.138,13.151,0.125,3.3305880374419308e+44,3.0983643824534393e+43,2.9083555787139306e+44,3.6967216177731226e+43,2.4235037639470423e+44,2.790254875081859e+43,13.002,0.012,12.936,0.035,11.948,0.289,9.317,99.0,8.302127231456936e+43,9.17615642969096e+41,3.564851256008125e+43,1.1492105616460505e+42,6.497270606566454e+42,1.7294936059729363e+42,1.0128370810569642e+43,,1.9787127137085783,,,,,262725545299.2701,2903846971.42119
WISEA J142816.97+322303.4,217.0707426,32.3843029,0.071300715,1.3990288e-05,SPEC,False,,,,323.66077,0.06026125,Redshift,0.012547678,19.0521,0.110247,18.6309,0.0548075,2.363540013410794e+43,2.4000478851172706e+42,2.3561669177586445e+43,1.189422552548709e+42,14.208,0.074,13.552,0.101,13.415,0.141,1.01533984839949e+44,6.920433565829466e+42,8.837336242673693e+43,8.221156571953974e+42,5.016463703181342e+43,6.514888164466245e+42,13.12,0.021,12.984,0.035,9.442,0.031,7.953,0.155,1.9644638729315416e+43,3.799736959336108e+41,8.99447412070903e+42,2.8995721938172216e+41,1.7222354755860963e+43,4.917499503637316e+41,9.3767020527145e+42,1.3386651090959648e+42,1.8318641676311216,0.2615261348845985,2.656896083467197,0.2534372667384552,,62166578257.32726,1202448404.8531985
WISEA J142431.64+352201.4,216.1318576,35.3670802,0.186,,SPEC,False,,,,909.151,,Redshift,0.01682414,,,,,,,,,,,,,,,,,,,,,15.781,0.115,15.626,99.0,12.038,0.377,8.664,99.0,1.3374429275610331e+43,1.416652076710778e+42,6.230233880053127e+42,,1.244156140051408e+43,4.3202251346778206e+42,3.844054274506042e+43,,7.509874201301202,,,,,26799165252.599094,2838632761.5820694
WISEA J142410.34+355624.8,216.0431054,35.9402343,0.048711717,1.2426692e-05,SPEC,False,180.7043,42.6351,FP,217.60312,0.053526275,Redshift,0.009540965,20.9887,99.0,21.1304,0.346398,1.7556656991811597e+42,,1.0393174176812804e+42,3.315993735102666e+41,13.796,0.051,13.246,0.075,12.821,0.09,6.692436516904488e+43,3.143724758378501e+42,5.287651988122081e+43,3.65270240782472e+42,3.914987604296503e+43,3.2453611335109174e+42,12.45,0.011,12.421,0.015,11.695,99.0,9.181,99.0,1.6449601749404235e+43,1.6666262602727474e+41,6.825888302625295e+42,9.430626700768312e+40,9.771897059943712e+41,,1.3676260086049539e+42,,0.267184033981171,,0.3127473045713258,,,52055701738.620995,527413373.504034
WISEA J142606.24+334858.3,216.5260196,33.8162009,0.100523,1.86761e-05,SPEC,False,,,,465.52557,0.080444746,Redshift,0.010722857,23.3021,0.302095,22.2763,0.123161,9.625538279134931e+41,2.6782968755679377e+41,1.6718333830921082e+42,1.8965153375645764e+41,16.221,0.158,15.489,99.0,14.749,0.109,3.2849189874016747e+43,4.7804844703064014e+42,3.0680254129926786e+43,,3.03564893681979e+43,3.04767179428525e+42,14.737,0.052,15.155,0.187,12.446,0.531,9.28,99.0,9.162321366097037e+42,4.3883273369693265e+41,2.5187297420247898e+42,4.33823766158517e+41,2.2395499308177956e+42,1.095331133538626e+42,5.713959930445842e+42,,1.1162985016500082,,1.0249917217147737,,,28994687867.395683,1388711182.5852299
SDSS J142721.49+342136.9,216.8394968,34.3602665,0.157736,1.42444e-05,SPEC,False,,,,757.89044,0.061355803,Redshift,0.0122577045,23.2796,0.239855,23.6966,0.305621,2.634309705931145e+42,5.819769300838918e+41,1.2131548772635016e+42,3.414991438453604e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142827.83+314419.1,217.1159951,31.7386511,0.12055579,4.1497668e-05,SPEC,False,,,,565.73584,0.17874552,Redshift,0.010980144,,,,,,,,,14.921,0.066,14.181,0.081,13.815,0.09,1.6067539490890947e+44,9.767501188183353e+42,1.5116518116654294e+44,1.1277865156155545e+43,1.059807920021319e+44,8.785364674951035e+42,12.783,0.011,12.787,0.036,11.081,0.254,8.433,99.0,8.184012917219826e+43,8.291805523610162e+41,3.2940941214814733e+43,1.09226654886761e+42,1.1628035287063013e+43,2.7203840033785873e+42,1.8411124377924152e+43,,3.5968594122019053,,,,,258987750544.93118,2623989089.750051
WISEA J142526.05+360703.1,216.3585557,36.1175288,0.12921734,1.1236725e-05,SPEC,False,,,,609.79224,0.048400655,Redshift,0.009961989,20.7936,0.316298,20.0304,0.141276,1.655253245036796e+43,4.822264791304976e+42,2.255769975328042e+43,2.9353057556798223e+42,,,,,,,,,,,,,14.205,0.028,14.174,0.095,10.616,0.115,8.282,0.287,2.565795973636813e+43,6.617140042929901e+41,1.0666356471945723e+43,9.333184918851889e+41,2.0731064559325876e+43,2.1958850355895904e+42,2.458133733667788e+43,6.497967525926128e+42,4.802293045717222,1.2694648722179205,4.958087913299986,1.137397237409431,,81196075115.08902,2094031659.155032
SSTSL2 J142412.74+344855.5,216.0529994,34.8151072,0.0588442,4.20037e-05,SPEC,True,,,,264.78134,0.18092519,Redshift,0.01284925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142542.23+352402.7,216.4259872,35.4007743,0.13,,SPEC,False,,,,613.79456,,Redshift,0.015797777,21.264,0.0837384,20.5585,0.0381787,1.1352168577636842e+43,8.755755846222014e+41,1.4747359863215184e+43,5.1859171267543976e+41,,,,,,,,,,,,,15.304,0.119,14.771,0.169,11.826,0.414,8.389,99.0,9.45731644272877e+42,1.0365852669656576e+42,6.240531985563446e+42,9.714008175719926e+41,6.893300329895144e+42,2.6285588764222337e+42,2.2571048559345977e+43,,4.409556243685722,,4.382586798328377,,,20883099084.975437,2288927622.456036
WISEA J142341.70+361751.5,215.9237572,36.2976634,0.029169729,1.3336582e-05,SPEC,False,,,,128.45543,0.057445504,Redshift,0.009072371,18.8252,0.124651,18.5648,0.0684313,4.472150855645825e+42,5.134550026167577e+41,3.8324640709303905e+42,2.415588951508471e+41,,,,,,,,,,,,,13.965,0.036,13.818,0.054,10.969,0.17,8.718,0.349,1.4200134443491413e+42,4.70852723355167e+40,6.5691302856781026e+41,3.267320945060286e+40,6.645744586105348e+41,1.0405973321930468e+41,7.300229687280404e+41,2.346670758156141e+41,0.14261975164001833,0.04584535213902333,0.32318775701670727,0.04629283056599266,,4493713431.484624,149004026.3782174
WISEA J142755.81+340127.3,216.9825615,34.0242671,0.13610584,3.6696933e-05,SPEC,False,,,,645.1397,0.15806702,Redshift,0.012831048,20.9596,0.0745397,20.5948,0.0457251,1.6240440100913468e+43,1.1150018189489723e+42,1.5374150385190394e+43,6.4749429216144405e+41,15.432,0.198,15.043,0.0,14.084,0.217,1.306865035533275e+44,2.3833403163782073e+43,8.894185986935477e+43,0.0,1.0763775552996718e+44,2.1513670029165382e+43,13.964,0.019,13.813,0.045,12.3,0.403,9.212,99.0,3.58751826452039e+43,6.278239047644399e+41,1.6654006779614337e+43,6.902737677068055e+41,4.92069244762619e+42,1.8265073134251152e+42,1.1683716593067864e+43,,2.2825703164368063,,2.726702316039278,,,113529059003.8098,1986784508.7482276
WISEA J142342.15+344816.5,215.9256334,34.8046007,0.0352831,1.19876e-06,SPEC,False,,,,156.08064,0.0051634945,Redshift,0.013587676,19.0038,0.11627,18.6588,0.0576486,5.7907075117795e+42,6.20139547621437e+41,5.386442656174804e+42,2.860098394772203e+41,,,,,,,,,,,,,15.061,0.057,14.798,0.194,12.025,99.0,8.854,99.0,7.646177811320944e+41,4.014296117076043e+40,3.9350589747010536e+41,7.031421456048823e+40,3.710501404726413e+41,,9.509974395237278e+41,,0.1857900702377692,,0.4194618697774846,,,2236294171.476066,117406987.26499115
WISEA J142255.64+351013.2,215.7318507,35.1703545,0.069275044,2.7997523e-05,SPEC,False,,,,314.02023,0.12059551,Redshift,0.01642731,,,,,,,,,15.767,0.104,15.095,0.141,14.794,0.217,2.280377954875458e+43,2.184391019498169e+42,2.0120626639160425e+43,2.6130686148176246e+42,1.3276133860520896e+43,2.6535147275682833e+42,14.244,0.031,14.343,0.16,11.565,99.0,8.97,99.0,6.571832057372136e+42,1.876455656889471e+41,2.4228439492555352e+42,3.570553466475869e+41,2.2946153792769972e+42,,3.459613955937089e+42,,0.6758818616704395,,,,,20796936890.41815,593815081.2941364
WISEA J142711.92+320604.6,216.7996802,32.101283,0.101472564,2.8166087e-05,SPEC,False,,,,470.22192,0.121321574,Redshift,0.009888635,,,20.2057,0.0487917,,,1.1406521000677977e+43,5.126125845443354e+41,,,,,,,,,,,,,14.206,0.033,14.321,0.121,11.433,0.174,8.79,99.0,1.5242556629126936e+43,4.632995613055283e+41,5.5392886376217647e+42,6.173472580391816e+41,5.808476962098217e+42,9.308970324694461e+41,9.154753621119414e+42,,1.7885035727636263,,,,,48235938699.76878,1466137852.2326844
WISEA J142655.85+313634.7,216.7327425,31.6096411,0.13057265,2.3895458e-05,SPEC,False,,,,616.7252,0.10292641,Redshift,0.011090929,,,,,,,,,15.648,0.137,14.533,0.227,14.01,0.214,9.775557140048388e+43,1.2335371189947685e+43,1.2990615573513462e+44,2.7160997623605543e+43,1.0524424780938456e+44,2.0744467708018561e+43,13.999,0.033,13.863,0.078,11.303,0.155,9.007,99.0,3.1734471922968134e+43,9.645735687510301e+41,1.4531095699276647e+43,1.0439582227223397e+42,1.1263277737897364e+43,1.608002178276891e+42,1.2895481997052683e+43,,2.5193048965328244,,,,,100425544060.02574,3052448002.3766775
