objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J143437.65+332051.2,218.6569088,33.3475703,0.121945,9.68221e-06,SPEC,False,,,,572.77264,0.041704793,Redshift,0.008244579,20.6322,0.0747505,20.3254,0.0479181,1.6731093640823585e+43,1.1519366407337634e+42,1.4952778445574462e+43,6.599509093131979e+41,,,,,,,,,,,,,15.367,0.058,15.326,0.226,12.105,99.0,9.141,99.0,7.760444998856385e+42,4.145765718394775e+41,3.25628028717281e+42,6.7782927797389404e+41,4.640731543662736e+42,,9.830772285440825e+42,,1.920572861182761,,2.429797664138527,,,22540634154.17183,1204160178.4564536
DESI J214.4834+33.8735,214.4834033,33.8735327,0.147896,1.54505e-05,SPEC,False,,,,706.2697,0.06655091,Redshift,0.020290328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J143629.96+324629.9,219.1248342,32.7749864,0.185708,,PHOT,False,,,,907.56604,,Redshift,0.011994856,23.104,0.228916,23.4214,0.285786,4.432082900711564e+42,9.3448908012531e+41,2.2366319653908263e+42,5.8874281165198115e+41,15.02,0.177,14.313,0.235,13.253,0.119,3.777531260346761e+44,6.158450516062764e+43,3.446558897608689e+44,7.460084406735016e+43,4.578223674638256e+44,5.01804030802852e+43,13.484,0.023,13.343,0.05,12.269,99.0,9.037,99.0,1.104525379651886e+44,2.3398803841778378e+42,5.080672070190869e+43,2.339813936233429e+42,1.0019757661817534e+43,,2.7165696071659443e+43,,5.3071820926659505,,4.866713515380432,,,349533347991.10315,7404684760.056448
WISEA J142101.69+334052.0,215.2570718,33.6811168,0.19290373,3.7224592e-05,SPEC,False,,,,946.7593,0.16033985,Redshift,0.012090183,,,,,,,,,15.629,0.074,14.525,0.11,14.272,0.174,2.3461825554151507e+44,1.5991293723575456e+43,3.085518333340661e+44,3.126158234870881e+43,1.949093298315989e+44,3.12371899310549e+43,13.073,0.011,12.926,0.03,11.732,99.0,8.731,99.0,1.7551169791863957e+44,1.7782338821177253e+42,8.118000664784805e+43,2.243161291372373e+42,1.7880601441686602e+43,,3.918717622769017e+43,,7.655739039012146,,,,,555416765565.3151,5627322411.764953
DESI J215.9094+32.8834,215.9094831,32.8834978,0.195973,8.24566e-05,SPEC,True,,,,963.56134,0.35517052,Redshift,0.008244425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J143233.10+324009.9,218.137927,32.669429,0.13111801,2.9563174e-05,SPEC,False,,,,619.51807,0.12733932,Redshift,0.0067983875,23.1273,99.0,22.7907,0.264572,1.9453424283979072e+42,,1.7846235770214893e+42,4.3489122309454965e+41,15.628,0.13,15.004,0.173,14.666,0.267,1.0015456221595785e+44,1.199234775765604e+43,8.477848772527228e+43,1.3508959602281888e+43,5.795978267429384e+43,1.4253717423683213e+43,13.971,0.023,13.901,0.068,12.08,0.347,9.137,99.0,3.2833359836442955e+43,6.955578142126252e+41,1.4150925121089377e+43,8.863064273901666e+41,5.5551862748251975e+42,1.7754903247865243e+42,1.1542898580774623e+43,,2.255059634170609,,2.0706470315164145,,,103903037457.09796,2201132323.4576745
MCG +06-32-007,215.436628,34.457932,0.076795846,2.1353671e-05,SPEC,False,,,,349.94052,0.09197802,Redshift,0.012600809,19.2981,0.143217,18.8305,0.0730906,2.2036415344067578e+43,2.906870408655332e+42,2.2927933991446913e+43,1.543535275573116e+42,13.682,0.09,12.915,0.108,12.671,0.151,1.926799785934978e+44,1.597236715122144e+43,1.8575499360240837e+44,1.8477977082470708e+43,1.1636261584857162e+44,1.618379827837918e+43,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142218.22+340435.6,215.5759434,34.0765728,0.123332836,1.9921697e-05,SPEC,False,447.8606,105.6675,FP,579.81366,0.08580998,Redshift,0.014918741,,,,,,,,,14.519,0.117,13.792,0.146,13.241,0.149,2.4511965864453693e+44,2.641521677109369e+43,2.276135314016898e+44,3.0608435095174696e+43,1.8911392683324306e+44,2.595373961831503e+43,13.211,0.02,13.021,0.033,11.864,99.0,8.869,0.405,5.800004525751761e+43,1.0684358899917568e+42,2.7906389025271844e+43,8.482183993542727e+41,5.939354677244704e+42,,1.2944129728685776e+43,4.8285643950037624e+42,2.5288088816135277,0.9433246408577292,,,,183544447017.4608,3381126234.151129
WISEA J142911.33+333615.5,217.2972107,33.6043318,0.145878,9.69233e-06,SPEC,False,,,,695.7506,0.041748386,Redshift,0.009261403,,,,,,,,,,,,,,,,,,,,,14.945,0.057,15.153,0.217,11.962,0.385,8.807,99.0,1.689313560501791e+43,8.869014169856056e+41,5.635348400554669e+42,1.1263428799847953e+42,7.811781274865474e+42,2.7701351885437956e+42,1.9730642419909865e+43,,3.854644911417661,,,,,50575440977.81633,2655245971.8948436
WISEA J141900.19+341145.1,214.7508223,34.1958804,0.15401225,8.896699e-06,SPEC,False,,,,738.29156,0.038321313,Redshift,0.018181734,20.7322,99.0,21.031,0.240561,2.727995298465006e+43,,1.4082981258595417e+43,3.1203976035479454e+42,16.198,0.151,15.251,0.1,14.788,0.08,8.486287410253253e+43,1.1802792432056184e+43,9.641340595906783e+43,8.88029791462198e+42,7.383390261980978e+43,5.4404634969062187e+42,13.923,0.021,13.703,0.088,9.861,0.065,8.649,0.423,4.883898383047318e+43,9.446611880403067e+41,2.4152567072416713e+43,1.9576547151209516e+42,6.093786789195639e+43,3.6483015037546116e+42,2.5703237105600276e+43,1.0014248555846798e+43,5.021471171971922,1.956417404762985,5.625137103384233,,,154553746298.96576,2989434139.368059
WISEA J143738.60+325921.3,219.4108681,32.9892742,0.12527576,7.6223632e-06,SPEC,False,,,,589.68964,0.032832287,Redshift,0.009786722,21.8755,0.119161,21.1939,0.0595242,5.707240561636637e+42,6.263981685186045e+41,7.213530714674807e+42,3.954864646053894e+41,15.875,0.093,15.027,0.14,14.691,0.161,7.24404093046315e+43,6.20517497900004e+42,7.530593795578715e+43,9.710629533141655e+42,5.136660292320647e+43,7.617226668202991e+42,13.965,0.024,13.835,0.069,10.33,0.059,8.104,0.175,2.9928935747628714e+43,6.6159563818660814e+41,1.3629795499589405e+43,8.662207451395164e+41,2.522905005243304e+43,1.3710177422268824e+42,2.7082371172006236e+43,4.3653075154741636e+42,5.29090345897491,0.8528212129735928,4.908748767396747,0.7510727264072429,,94711821986.16681,2093657082.869013
