objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142404.12+345329.0,216.0168137,34.891283,0.176918,1.57918e-05,SPEC,False,,,,860.06915,0.06802102,Redshift,0.013685575,,,,,,,,,,,,,,,,,,,,,12.693,0.019,12.666,0.026,10.836,0.186,8.498,99.0,2.0559876351281975e+44,3.598025621609227e+42,8.513831253318785e+43,2.0388653422380823e+42,3.3682391690440865e+43,5.770401294697376e+42,4.008198251435683e+43,,7.830551415933218,,,,,650628998458.2903,11386157030.408945
WISEA J142542.23+352402.7,216.4259872,35.4007743,0.13,,SPEC,False,,,,613.79456,,Redshift,0.015797777,21.264,0.0837384,20.5585,0.0381787,1.1352168577636842e+43,8.755755846222014e+41,1.4747359863215184e+43,5.1859171267543976e+41,,,,,,,,,,,,,15.304,0.119,14.771,0.169,11.826,0.414,8.389,99.0,9.45731644272877e+42,1.0365852669656576e+42,6.240531985563446e+42,9.714008175719926e+41,6.893300329895144e+42,2.6285588764222337e+42,2.2571048559345977e+43,,4.409556243685722,,4.382586798328377,,,20883099084.975437,2288927622.456036
WISEA J142803.89+333354.8,217.016212,33.5652335,0.157047,4.11444e-05,SPEC,False,,,,754.25824,0.17722388,Redshift,0.008427893,,,,,,,,,16.27,0.134,15.293,0.216,14.917,0.153,8.228723214308175e+43,1.0156109318890646e+43,9.637119637913345e+43,1.9173047067591174e+43,6.821587311373e+43,9.613177678788373e+42,14.567,0.047,14.49,0.098,12.055,99.0,8.494,99.0,2.811747074481563e+43,1.2172064159267134e+42,1.2195723829658926e+43,1.100838882002228e+42,8.426852820010659e+42,,3.093605363469873e+43,,6.043771874452735,,,,,86026032958.93068,3724070354.85723
WISEA J142454.64+351458.2,216.2277828,35.2494126,0.170687,5.14971e-06,SPEC,False,,,,826.65515,0.022181671,Redshift,0.019883335,,,,,,,,,,,,,,,,,,,,,14.618,0.057,14.478,0.107,10.982,0.175,8.639,99.0,3.2291973282350687e+43,1.695350953333043e+42,1.483374151074538e+43,1.461923462873509e+42,2.7209210661836054e+43,4.3857526589474615e+42,3.252367351481697e+43,,6.353934653845462,,,,,101935947023.93279,5351707789.885512
WISEA J142402.17+343641.6,216.0090664,34.6115578,0.076625,1.78952e-05,SPEC,False,,,,349.12067,0.07708113,Redshift,0.00920362,,,,,,,,,14.909,0.068,14.386,0.063,14.081,0.122,6.178676618251905e+43,3.8698537569301983e+42,4.762288699658044e+43,2.76341671241599e+42,3.1572161334436357e+43,3.547760836085589e+42,13.624,0.018,13.558,0.042,11.984,0.362,8.585,99.0,1.4359831115564702e+43,2.3807401485750094e+41,6.165401440280892e+42,2.385068052814285e+41,1.9274940895747492e+42,6.426755468955483e+41,6.095149756288035e+42,,1.1907690328773186,,,,,45442503530.26804,753398781.1946232
SDSS J142853.81+330807.3,217.22428208333,33.135485,0.16,,PHOT,False,,,,769.8441,,Redshift,0.007189513,22.8303,99.0,22.5111,0.278154,3.9604683367860126e+42,,3.5767597288718944e+42,9.163580437190473e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142635.77+350407.5,216.649069,35.0687666,0.19163,3.02713e-05,SPEC,False,,,,939.80133,0.13038948,Redshift,0.011652014,,,21.792,0.114514,,,1.072600785826503e+43,1.131323568698625e+42,16.371,0.195,15.616,0.35,15.685,0.49,1.1668420030321627e+44,2.0957370579953888e+43,1.112838155587186e+44,3.5874858426235557e+43,5.22594948492884e+43,2.358584403340979e+43,14.393,0.033,13.935,0.087,10.651,0.098,9.046,0.468,5.127018166091318e+43,1.558364232651589e+42,3.15804253545467e+43,2.5306225873769365e+42,4.768318734982029e+43,4.304091480080302e+42,2.8889015241464694e+43,1.24528496431732e+43,5.643855543396333,2.4328307456056004,,,,162247410319.3455,4931532381.8088255
WISEA J142838.24+323408.2,217.1593487,32.5689636,0.12840728,3.093452e-05,SPEC,False,,,,605.65344,0.13324621,Redshift,0.008381846,21.5207,99.0,21.1549,0.224874,8.261278315688325e+42,,7.796493307489032e+42,1.6148371440813446e+42,15.113,0.141,14.513,0.197,14.064,0.194,1.5400187295603057e+44,2.0000243210143558e+43,1.2745201414973777e+44,2.312613484257797e+43,9.64911276345537e+43,1.724166519235483e+43,13.94,0.027,13.739,0.051,11.211,0.146,8.769,99.0,3.229845653756443e+43,8.03222315801406e+41,1.5704105990304233e+43,7.376893260516694e+41,1.1821494588199443e+43,1.5897009461416367e+42,1.5483621937678874e+43,,3.0249326525811817,,3.0273714902740543,,,102210305498.62161,2541842771.5234365
WISEA J142607.24+350440.2,216.5302067,35.0778062,0.193472,5.59712e-05,SPEC,False,,,,949.86633,0.24108827,Redshift,0.011565197,,,,,,,,,,,,,,,,,,,,,14.952,0.076,14.488,0.122,12.398,99.0,9.055,99.0,3.1297574781993593e+43,2.1908591590923967e+42,1.9385013494272236e+43,2.1782921715199305e+42,9.745781250035837e+42,,2.9267395377301043e+43,,5.717777164098928,,,,,99042958170.8658,6933098604.7227745
WISEA J142506.76+332051.7,216.2782078,33.3477092,0.167,,SPEC,False,,,,806.9841,,Redshift,0.007451869,,,23.0307,0.251928,,,2.4407162628556854e+42,5.6634866786978905e+41,16.226,0.168,15.954,0.32,15.175,0.274,9.801787342304192e+43,1.516717462150502e+43,5.998451079365096e+43,1.767987701634412e+43,6.155166670156775e+43,1.5533900610080482e+43,13.622,0.023,13.734,0.075,12.405,99.0,9.307,99.0,7.684029660289311e+43,1.627822432108847e+42,2.8005485040266947e+43,1.9346150211109213e+42,6.987708267083601e+42,,1.6747274917719325e+43,,3.2718041647016136,,,,,243165495578.77567,5151336810.471035
