objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142712.37+323945.6,216.8015674,32.6626871,0.13280904,2.0951109e-05,SPEC,False,,,,628.18854,0.09024404,Redshift,0.005976467,,,20.718,0.0601461,,,1.2295446498987182e+43,6.811486722755923e+41,15.544,0.234,15.047,0.0,14.138,0.243,1.1119265273089214e+44,2.396525779719197e+43,8.375116716395552e+43,0.0,9.689135185154793e+43,2.1686098352270303e+43,14.057,0.045,13.752,0.041,10.498,0.096,9.011,0.38,3.1183297369677554e+43,1.2924826713631154e+42,1.6688292407285193e+43,6.302109246281553e+41,2.4521873400347683e+43,2.168278399100656e+42,1.3328394590543926e+43,4.6649988331859684e+42,2.6038801622578656,0.9113699205234375,,,,98681320790.11884,4090135035.959226
WISEA J142540.10+353543.6,216.4170106,35.5953468,0.193294,6.34561e-05,SPEC,False,,,,948.893,0.27332845,Redshift,0.012880486,,,,,,,,,,,,,,,,,,,,,13.434,0.022,13.438,0.052,11.531,99.0,8.61,99.0,1.2645171762806739e+44,2.5623448086099467e+42,5.089189406365565e+43,2.4374860710432088e+42,2.1614922609636607e+43,,4.400563764052994e+43,,8.59708992716787,,,,,400163663379.9601,8108686103.1960335
WISEA J142602.62+352744.8,216.51091291667,35.46252888889,0.195,,SPEC,False,,,,958.2293,,Redshift,0.013663547,,,,,,,,,,,,,,,,,,,,,15.571,0.138,15.548,0.297,11.263,0.258,8.441,99.0,1.8017349263166741e+43,2.2901297488068887e+42,7.43354712777035e+42,2.033493075857987e+42,2.8214696676096624e+43,6.70479081308145e+42,5.243500648869393e+43,,10.243879881875605,,,,,35855417100.97762,4557471588.04845
SDSS J142455.29+345306.0,216.2304931,34.8849895,0.156935,1.35621e-05,SPEC,False,,,,753.668,0.058416888,Redshift,0.013741652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142525.82+345011.4,216.357595,34.83654777778,0.179,,PHOT,False,,,,871.2813,,Redshift,0.012995619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142546.11+340158.2,216.4421652,34.0328446,0.121885,3.33647e-06,SPEC,False,,,,572.4685,0.014371388,Redshift,0.014387614,20.1974,0.0480981,19.7357,0.0233968,2.610110466154151e+43,1.1563171485548032e+42,2.705342675243491e+43,5.830005110216523e+41,,,,,,,,,,,,,15.594,0.115,15.45,0.274,12.104,0.321,8.827,99.0,6.296697373080017e+42,6.669615581109982e+41,2.9040280033338153e+42,7.32894559698943e+41,4.641458203681407e+42,1.3723017638686369e+42,1.311577203830649e+43,,2.562341502664722,,3.408768438762476,,,14846161747.66276,1572541696.7824833
GALEXMSC J142854.51+340120.8,217.22714583333,34.02220388889,0.122,,PHOT,False,,,,573.05145,,Redshift,0.011784506,23.3376,99.0,22.4004,0.149788,1.4227376976138346e+42,,2.2796547090311023e+42,3.145113279130756e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142657.49+334501.6,216.7395422,33.750437,0.100202,1.55011e-05,SPEC,False,,,,463.93918,0.06676887,Redshift,0.009218414,23.2883,99.0,22.7929,0.203715,9.575488833477034e+41,,1.0190146319023287e+42,1.9120249678999235e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142627.69+334940.2,216.6154598,33.8278849,0.138434,2.2785e-05,SPEC,False,,,,657.148,0.09814327,Redshift,0.010652137,22.6847,0.175431,23.0132,0.198713,3.385299209020652e+42,5.470077552553878e+41,1.6889541653653636e+42,3.091251519666611e+41,,,,,,,,,,,,,15.52,0.114,15.93,0.316,12.781,99.0,9.342,99.0,8.876445176329338e+42,9.32038980531788e+41,2.458199676850943e+42,7.154748936961244e+41,3.2779236721082216e+42,,1.0754140714224126e+43,,2.1009652346100793,,1.9986756711609803,,,26217275064.689754,2752850024.779817
WISEA J142906.12+315202.2,217.2755225,31.8672978,0.12102857,1.8139315e-05,SPEC,False,,,,568.12933,0.07813262,Redshift,0.009717801,,,,,,,,,15.639,0.228,15.201,0.0,14.412,0.258,8.356142363691491e+43,1.7548130428277417e+43,5.954738947714959e+43,0.0,6.164802634810522e+43,1.4649708236586083e+43,14.017,0.02,13.946,0.087,10.404,0.081,8.926,0.39,2.648093600693126e+43,4.878130964691139e+41,1.1421767318212547e+43,9.152561581050178e+41,2.187493431613817e+43,1.632006781712169e+42,1.1790534104369645e+43,4.235338920005813e+42,2.3034385460477296,0.8274301094046262,,,,83800430401.6812,1543712330.5984619
