objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J205459.29-000451.0,313.7470806,-0.0808468,0.14186524,4.146295e-05,SPEC,False,615.9045,145.3155,FP,674.90234,0.17859599,Redshift,0.08359303,23.6347,99.0,24.0564,0.360652,2.5490496694199162e+42,,1.2465036259457773e+42,4.1406830959975244e+41,15.868,0.083,15.776,0.245,14.72,0.166,1.0092512477568536e+44,7.715560889896834e+42,5.121588912036087e+43,1.155742249115962e+43,6.707542260309395e+43,1.025561376287904e+43,13.976,0.044,14.191,0.124,11.672,99.0,8.193,99.0,3.9335637427928627e+43,1.5941494939022852e+42,1.298411723483969e+43,1.4829423095129766e+42,9.635963955285755e+42,,3.2744074312075444e+43,,6.39699289764433,,5.7426186444579885,,,124479865278.25514,5044776879.437611
WISEA J204429.95-003147.9,311.1247997,-0.5299975,0.18693104,1.39526965e-05,SPEC,False,,,,914.2079,0.06009933,Redshift,0.06346764,,,,,,,,,16.793,0.209,18.582,3.402,15.453,0.197,7.781575912659301e+43,1.497973231266378e+43,7.02326173516383e+42,2.200712487362583e+43,6.225542623751467e+43,1.1296229682781546e+43,12.192,0.009,12.204,0.018,10.394,0.141,7.81,0.312,3.718745892333201e+44,3.082684995119594e+42,1.481512866246099e+44,2.4562246967825222e+42,5.731631926168437e+43,7.443677614983766e+42,8.545149303603778e+43,2.455638513899197e+43,16.694092153432752,4.797418300141699,,,,1176818320358.608,9755332263.03669
WISEA J205339.89+002835.9,313.4162333,0.4766554,0.20138943,2.5436917e-05,SPEC,False,,,,993.335,0.10956604,Redshift,0.07533093,20.6396,99.0,21.2522,0.3197,8.197179104928927e+43,,3.337214448753136e+43,9.82690809558806e+42,16.567,0.352,15.807,0.268,15.019,0.302,1.1413638339280385e+44,3.7004701799474183e+43,1.0740931471053503e+44,2.651349074347231e+43,1.1003375828777558e+44,3.060715897622551e+43,14.771,0.151,14.498,0.172,11.16,0.3,8.217,99.0,4.091097972013173e+43,5.689930313360116e+42,2.1176974081888467e+43,3.354922871646485e+42,3.3437236212771506e+43,9.239358554515291e+42,6.936675493634545e+43,,13.551723418145114,,15.54993427462395,,,105714850828.61345,14702902213.952007
WISEA J205158.55+010942.2,312.9939642,1.1617438,0.14818342,4.9623897e-05,SPEC,False,,,,707.7698,0.21374816,Redshift,0.09641807,21.2814,99.0,20.971,0.23077,2.6920183062533625e+43,,2.613711690156263e+43,5.5555517169212493e+42,16.094,0.225,15.061,0.151,14.412,0.182,9.10057311314047e+43,1.885998844780107e+43,1.0947198841712834e+44,1.5225448351077849e+43,9.836633794770807e+43,1.6489520723054114e+43,13.708,0.021,13.9,0.202,11.557,0.358,8.44,99.0,5.550167391780072e+43,1.0735332815947824e+42,1.8699278303442424e+43,3.4790956818248875e+42,1.1788759966602716e+43,3.8872394683241e+42,2.8693006536444033e+43,,5.605562621081799,,6.123290249227101,,,175638208600.63516,3397257220.236653
WISEA J204956.35-032323.3,312.4848287,-3.3898331,0.158463,,PHOT,False,,,,761.72577,,Redshift,0.04105487,21.2893,99.0,21.2703,0.26066,2.0578158427629612e+43,,1.4532412828313735e+43,3.489010488505922e+42,14.653,0.127,14.018,0.17,13.474,0.169,3.8132182349899925e+44,4.460520867776495e+43,3.229306632152293e+44,5.056481393123227e+43,2.655662999185294e+44,4.133803634755001e+43,13.144,0.025,13.168,0.053,10.662,0.21,8.11,99.0,1.069852971685653e+44,2.463509548865842e+42,4.2205736103241804e+43,2.0603334207761728e+42,3.105360502796693e+43,6.006499589570722e+42,4.497600526009795e+43,,8.78666422117048,,8.642638994911952,,,338561066989.1307,7795916293.879247
WISEA J205630.16+000032.8,314.1256826,0.0091133,0.19991541,4.0306553e-05,SPEC,False,,,,985.217,0.17361496,Redshift,0.07567073,,,,,,,,,16.347,0.17,15.408,0.272,14.916,99.0,1.3753298035054027e+44,2.1535053616537114e+43,1.52610065663353e+44,3.8233336500439944e+43,1.1902689974929299e+44,,15.398,0.171,15.049,0.282,11.852,99.0,8.69,99.0,2.259119527128983e+43,3.55815978564318e+42,1.2541671525907695e+43,3.2575768459666224e+42,1.7390403624767161e+43,,4.413953632169404e+43,,8.623248825545854,,,,,54854364813.62419,8639675440.054491
WISEA J205335.35+020610.0,313.3973127,2.102788,0.196913,,PHOT,False,,,,968.7173,,Redshift,0.09626845,,,,,,,,,14.832,0.164,13.88,0.151,13.468,0.183,5.450426010398196e+44,8.233120173011347e+43,6.085310483784001e+44,8.463496683629398e+43,4.395773826850271e+44,7.40928895519776e+43,12.627,0.015,12.543,0.039,12.034,99.0,8.106,99.0,2.8138727316280075e+44,3.887638235119391e+42,1.2224363637822048e+44,4.391177517577473e+42,1.423228731812562e+43,,7.311129624550973e+43,,14.283269649422325,,,,,890466054312.6605,12302652642.782883
WISEA J205647.82-005243.1,314.1992822,-0.8786601,0.19434325,6.768103e-05,SPEC,False,,,,954.63336,0.2915268,Redshift,0.06833827,,,,,,,,,,,,,,,,,,,,,14.461,0.065,15.122,0.334,11.442,99.0,8.309,99.0,5.020721183114719e+43,3.005866123261057e+42,1.0999146171161818e+43,3.383729193555395e+42,2.3810260580215544e+43,,5.8851347543651e+43,,11.497397931163912,,,,,150114442218.55737,8987233108.950773
WISEA J204900.26+002847.4,312.2511227,0.4798559,0.18630417,3.4393874e-05,SPEC,False,,,,910.8026,0.14814691,Redshift,0.0744985,,,,,,,,,15.984,0.214,14.812,0.106,14.494,0.084,1.640629028757548e+44,3.2338088101940286e+43,2.256994018603936e+44,2.2035677043610917e+43,1.4999167033029074e+44,1.160477031907499e+43,13.536,0.026,13.464,0.088,10.952,99.0,8.192,99.0,1.0725820575340378e+44,2.568585462940594e+42,4.61397949241355e+43,3.739800229148058e+42,3.404628694057659e+43,,5.967591471123803e+43,,11.65848815666281,,,,,339424701751.2778,8128435009.305676
WISEA J204724.51+043329.7,311.8521556,4.5582691,0.16113,,PHOT,False,,,,775.8211,,Redshift,0.07131429,,,,,,,,,15.135,0.186,14.234,0.191,13.518,0.149,2.5956757383947883e+44,4.4468603507146207e+43,2.7845826332802216e+44,4.898730888447327e+43,2.671161914540747e+44,3.665866452659149e+43,13.352,0.054,13.503,0.055,11.756,99.0,8.385,99.0,9.214097041905724e+43,4.582860600328167e+42,3.2282946864229845e+43,1.6354074717380076e+42,1.1778153074605707e+43,,3.62442615292144e+43,,7.080801288593593,,,,,291585349427.3963,14502723418.760021
