objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J205548.91+025732.2,313.9538191,2.9589709,0.122351,,PHOT,False,,,,574.83124,,Redshift,0.102012426,,,,,,,,,15.15,0.176,14.35,0.198,13.669,0.198,1.4380809769936112e+44,2.331235486488874e+43,1.393579318651449e+44,2.541482034230836e+43,1.288604679124255e+44,2.350038856183845e+43,13.406,0.029,13.508,0.087,11.811,99.0,8.899,99.0,4.84002117996063e+43,1.2928119044275446e+42,1.771051719675163e+43,1.4191904788536394e+42,6.155777613724615e+42,,1.2403203785370596e+43,,2.4231317632268685,,,,,153165227213.944,4091176912.745394
WISEA J205623.51+033706.9,314.0979965,3.6185916,0.107073,,PHOT,False,,,,498.0296,,Redshift,0.06432456,20.4101,0.274202,19.9871,0.140543,2.3470961881190714e+43,5.927774484284591e+42,2.4557150236837625e+43,3.178903481003666e+42,14.973,0.142,14.327,0.194,13.53,0.17,1.2352835276029963e+44,1.6156421542499417e+43,1.049863819534642e+44,1.8759656046372218e+43,1.0862170566547782e+44,1.700809660130695e+43,13.345,0.019,13.576,0.1,10.571,0.207,8.585,99.0,3.8166722529034113e+43,6.679264182559472e+41,1.2427205797382124e+43,1.1446262380514806e+42,1.4451618677681271e+43,2.75535145436333e+42,1.2420795530238516e+43,,2.4265685458918695,,3.173023257026779,,,120780767496.94339,2113691197.0124912
WISEA J205407.93+002734.3,313.53345,0.45977458,0.05861502,2.4538287e-05,SPEC,False,,,,263.7071,0.105695315,Redshift,0.07265237,21.7213,0.119328,21.6395,0.0754841,2.091499026598926e+42,2.298741779902975e+41,1.6102262773152853e+42,1.1195216945080496e+41,,,,,,,,,,,,,15.602,0.168,15.875,99.0,11.558,99.0,8.558,99.0,1.340537718517706e+42,2.074332562408045e+41,4.197279388117476e+41,,1.6331498910785605e+42,,3.570872860969546e+42,,0.6976177769541962,,0.7064129949450543,,,2798176136.567726,432986539.301088
SDSS J204923.41+002004.7,312.34756,0.33465037,0.18512645,9.7101065e-06,SPEC,False,,,,904.41064,0.04182495,Redshift,0.083031826,21.8449,99.0,21.97,0.292796,2.3700117274986815e+43,,1.522251483919574e+43,4.105269338841857e+42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J204732.95+000241.7,311.88733,0.044938065,0.028057706,6.911234e-06,SPEC,False,,,,123.45635,0.029769195,Redshift,0.08966078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J204745.27-005009.7,311.9386647,-0.836032,0.106340125,2.3653283e-05,SPEC,False,,,,494.38013,0.101883285,Redshift,0.060699407,,,,,,,,,15.554,0.052,15.163,0.1,14.646,0.137,7.108862744099675e+43,3.40481622666038e+42,4.782006391805743e+43,4.404537602062158e+42,3.824944102901431e+43,4.826538996769994e+42,14.133,0.059,14.509,0.292,11.249,99.0,7.964,99.0,1.8188977464341478e+43,9.88440215726247e+41,5.1830389803837455e+42,1.393982929843325e+42,7.625216196540109e+42,,2.1683097331440942e+43,,4.23608309418617,,,,,54045990003.18758,2937011171.8824654
WISEA J205404.31+003947.0,313.51799,0.66307,0.027312083,1.2176411e-05,SPEC,False,,,,120.1089,0.05244822,Redshift,0.06712073,19.6142,0.0296791,19.2226,0.0143013,2.9005960997788026e+42,7.929176433437814e+40,2.955757093287855e+42,3.8934483435702907e+40,,,,,,,,,,,,,14.364,0.075,14.882,0.226,11.685,0.44,8.378,99.0,8.688539547714807e+41,6.0020305812026085e+40,2.1715414113502005e+41,4.520294349727184e+40,3.0131148119713155e+41,1.2211203321406019e+41,8.742188617156469e+41,,0.17079034808198365,,0.2785177902558879,,,2743657301.8850884,189531450.47933048
WISEA J204650.88-000550.2,311.7120024,-0.0972915,0.027034592,5.8628834e-06,SPEC,False,,,,118.864044,0.02525357,Redshift,0.07213759,18.8823,0.0184801,18.409,0.00891099,5.78451119616676e+42,9.846030129113422e+40,6.384015962751894e+42,5.23974413568408e+40,15.751,0.049,15.2,99.0,14.734,99.0,3.4569719042940184e+42,1.560206509721631e+41,2.685994212237833e+42,,2.0464062962346042e+42,,13.805,0.038,13.782,0.084,10.686,99.0,8.318,99.0,1.4252644734905292e+42,4.988491318472386e+40,5.86134522065022e+41,4.534889974103924e+40,7.40750833197522e+41,,9.049529545046537e+41,,0.17679466420382658,,0.41127119596219197,,,4510330612.311801,157863649.3187464
SDSS-II SN 14430,312.2734096918,-1.2401894823000001,,,None,False,969.0,0.0,Wavg,969.0,0.0,zIndependent,0.064603634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J205038.64+000420.7,312.66104,0.072418749,0.08973125,6.1787678e-06,SPEC,False,,,,412.53192,0.026614197,Redshift,0.095047735,22.2885,0.234436,21.6328,0.0933292,3.580800697091832e+42,7.732048835000216e+41,4.772469021146995e+42,4.102520598527594e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
