objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J205837.94+025723.7,314.6581088,2.9565977,0.069474,,PHOT,False,,,,314.96597,,Redshift,0.067318775,20.5986,99.0,20.4342,0.1739,8.067483161466175e+42,,6.66987805738711e+42,1.0683354937752608e+42,13.591,0.054,13.007,0.072,12.625,0.102,1.7683021231461471e+44,8.795091656754506e+42,1.4182600866115748e+44,9.405426969783164e+42,1.0008049039880857e+44,9.402421384014132e+42,12.454,0.011,12.471,0.026,10.538,0.157,8.172,99.0,3.470078555543272e+43,3.515783712028979e+41,1.3758031215533083e+43,3.2947294258875585e+41,5.959319231574703e+42,8.617603484330221e+41,7.267741894634271e+42,,1.4198505915539732,,1.6061837616164323,,,109812612517.19215,1112589782.2876515
WISEA J205206.04-002131.2,313.0251678,-0.3586687,0.10783467,3.4635796e-05,SPEC,False,364.8438,86.0807,FP,501.82593,0.14918895,Redshift,0.11175235,,,,,,,,,15.641,0.099,15.222,0.335,14.474,0.199,7.023827910788354e+43,6.404706410856449e+42,4.778913988024743e+43,1.4745658822512778e+43,4.693506642830177e+43,8.602817590639362e+42,13.67,0.036,13.684,0.094,10.967,99.0,8.236,99.0,2.8976522100766317e+43,9.608129302962234e+41,1.1492016192880836e+43,9.949797109973128e+41,1.0212089428587665e+43,,1.741272521531757e+43,,3.401808781320182,,,,,91697854749.2605,3040547247.772859
WISEA J204236.21-003241.9,310.6508812,-0.5449968,0.1880008,2.2465929e-05,SPEC,False,,,,920.024,0.096768916,Redshift,0.052375615,23.2597,99.0,22.7951,0.185597,5.3150435954580644e+42,,5.716279319649867e+42,9.771799008824274e+41,,,,,,,,,,,,,14.55,0.098,14.534,0.214,11.445,99.0,8.484,99.0,4.283749445878259e+43,3.8666984371654274e+42,1.752263661794251e+43,3.453849510775107e+42,2.203699617697336e+43,,4.650569065842826e+43,,9.085508724621308,,8.231020367348084,,,131691999061.4955,11887092216.568146
WISEA J205136.69+025620.3,312.9028864,2.9389947,0.069605,,PHOT,False,,,,315.58884,,Redshift,0.08739536,,,19.2237,0.0325241,,,2.4110347030309304e+43,7.222688779418284e+41,14.933,0.22,14.359,0.317,13.429,0.197,5.235958523117647e+43,1.0609844727298284e+43,4.137479522483737e+43,1.2080511086435734e+43,4.822281295393873e+43,8.750016477749283e+42,13.811,0.047,13.56,0.08,10.513,0.127,8.104,0.292,1.001957725066472e+43,4.3374787944510616e+41,5.079067715845629e+42,3.742519955575908e+41,6.128261322453834e+42,7.16854717906472e+41,7.772058061951097e+42,2.0903019878897768e+42,1.5183755005114152,0.408368452961014,,,,31707522945.141518,1372619871.6617284
WISEA J205105.85+010634.3,312.774407,1.1095296,0.06837,1e-05,SPEC,False,,,,309.72116,0.043073628,Redshift,0.09881843,20.2548,0.05863,19.9441,0.0308672,1.350714480612018e+43,7.294131187901516e+41,1.3146319213698026e+43,3.737589472335327e+41,,,,,,,,,,,,,14.07,0.039,14.546,0.3,11.051,0.414,8.355,99.0,7.618242464880942e+42,2.7365888132672494e+41,1.9756754209662705e+42,5.45917567292505e+41,3.5981323321001364e+42,1.3720425910964086e+42,5.942377157703629e+42,,1.1609228622760412,,1.6187362441717585,,,24108362230.63589,866009118.1225473
WISEA J204839.03-013845.7,312.1626607,-1.6460422,0.056909,0.00015,SPEC,False,,,,255.72087,0.6461045,Redshift,0.045114376,21.9862,99.0,22.4812,0.35375,1.257718822760117e+42,,5.552713195811071e+41,1.809221739481245e+41,13.441,0.081,12.835,0.113,12.296,0.114,1.316273118525361e+44,9.820218205672816e+42,1.0840911487093591e+44,1.1283254330172807e+43,8.868937339801834e+43,9.312507517060308e+42,12.219,0.008,12.272,0.031,10.898,99.0,7.85,99.0,2.8286669773671826e+43,2.084308626880466e+41,1.0862542870263776e+43,3.1015822878906706e+41,2.816647534606828e+42,,6.441104997704714e+42,,1.2583560167435623,,1.1630618830613502,,,89514777764.78426,659591337.6204007
WISEA J205158.81+010322.5,312.9950547,1.0562568,0.07710081,1.0639328e-05,SPEC,False,,,,351.4044,0.04582745,Redshift,0.10008388,21.9265,0.187162,21.6362,0.105252,3.7636565686098894e+42,6.488104997127826e+41,3.599034155866448e+42,3.4890441100866475e+41,16.075,0.133,15.669,0.399,15.431,99.0,2.2892331435285914e+43,2.8043476688686664e+42,1.5441002185995509e+43,5.674642499517013e+42,9.496984000555432e+42,,14.03,0.054,14.429,0.169,11.123,0.284,8.191,99.0,1.017718905487853e+43,5.061878782429047e+41,2.8330744034392013e+42,4.409961641246491e+41,4.334868912237578e+42,1.1339253879546455e+42,8.8970655468643e+42,,1.7381607606533538,,1.696097276329311,,,32206294477.4637,1601860374.1864073
WISEA J205544.88+011451.7,313.9370363,1.2477135,0.13889,4e-05,SPEC,False,,,,659.5037,0.17229451,Redshift,0.08595822,21.8974,99.0,21.2896,0.16058,1.2269490512297425e+43,,1.5519174093596284e+43,2.2953568006978728e+42,16.161,0.201,15.262,0.13,15.075,0.227,7.370901701169567e+43,1.3646044831055924e+43,7.860241800640581e+43,9.411727714801402e+42,4.622153436187894e+43,9.664076940288176e+42,14.559,0.096,15.055,99.0,10.702,99.0,7.631,99.0,2.19647447086551e+43,1.9421713155016876e+42,5.596229656119167e+42,,2.248525712717961e+43,,5.24700475095513e+43,,10.250725614004553,,9.563906509340777,,,48478955953.67973,4286616526.0552945
WISEA J205428.67+002422.8,313.61932,0.40620127,0.030568738,6.575966e-06,SPEC,False,,,,134.75603,0.028325073,Redshift,0.06960164,21.1403,0.0844167,20.4459,0.0323076,9.118826813601677e+41,7.090183946192355e+40,1.2308729641181171e+42,3.6627565447118873e+40,,,,,,,,,,,,,14.952,0.094,15.27,0.486,11.356,99.0,8.208,99.0,6.366339345883588e+41,5.511981571109902e+40,1.912722537965239e+41,8.562062562850197e+40,5.135875800912163e+41,,1.2870441874262511e+42,,0.25144129736121085,,0.2615970180138142,,,1521952145.8424892,131770735.49211915
WISEA J204648.77+023953.2,311.7032388,2.6647831,0.077079,,PHOT,False,,,,351.2997,,Redshift,0.10785973,20.8036,0.249224,20.708,0.178684,1.1205121551994386e+43,2.5721517287126643e+42,9.019014924423735e+42,1.4843452259654925e+42,14.599,0.16,14.461,0.163,13.254,0.168,8.961036226600767e+43,1.3205910297391322e+43,4.711838312035218e+43,7.07404967894918e+42,7.066535623573754e+43,1.0934675594076522e+43,13.305,0.089,13.079,0.062,11.133,0.434,8.571,99.0,1.9860334364008477e+43,1.628046031757398e+42,9.827199728599845e+42,5.611922026646476e+41,4.294191793184627e+42,1.7165692205960337e+42,6.26719846551084e+42,,1.2243810495267335,,1.5728359423611544,,,62849159379.77366,5152044404.295564
