objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J171551.39+330040.2,258.9641266,33.0111701,0.18650638,3.6676796e-05,SPEC,False,,,,911.9008,0.15798028,Redshift,0.041958213,,,,,,,,,15.857,0.103,15.832,0.412,14.658,0.148,1.8041932597278356e+44,1.7116320222462053e+43,8.709436682491843e+43,3.305045356626562e+43,1.2793691459712404e+44,1.7440053096279897e+43,13.631,0.019,13.949,0.112,12.484,99.0,8.956,99.0,9.792512073416097e+43,1.7137120708872094e+42,2.946589158137632e+43,3.0396794506631326e+42,8.310538483554963e+42,,2.9572525130170125e+43,,5.777388342700598,,,,,309889622576.45874,5423139464.832941
WISEA J172145.01+304609.5,260.4375465,30.76931,0.049113955,1.2061106e-05,SPEC,False,,,,219.46364,0.051951565,Redshift,0.030116163,21.1352,0.357803,21.0851,0.254394,1.8160928053381926e+42,5.985110532714688e+41,1.306843887831881e+42,3.062109370974698e+41,,,,,,,,,,,,,13.971,0.02,14.356,0.143,11.13,0.15,8.997,0.409,4.137933958855299e+42,7.622609595595619e+40,1.171369878903781e+42,1.5428379934422785e+41,1.6742046656102018e+42,2.313076296809701e+41,1.6488783538542973e+42,6.211580287487154e+41,0.3221304416230068,0.12135152945077796,0.3637761484009483,0.1100282101205346,,13094727717.896515,241221822.64543095
WISEA J172405.98+324438.4,261.0249291,32.7440034,0.036338,,PHOT,False,,,,160.87189,,Redshift,0.038526043,18.0098,0.0363892,17.5296,0.0185637,1.8470121661578085e+43,6.1905951655489335e+41,1.9901716965898058e+43,3.402869378137967e+41,14.119,0.072,13.295,0.087,13.239,0.139,2.776085290507556e+43,1.841006938019921e+42,2.800015691888899e+43,2.243726083134904e+42,1.4695501026589978e+43,1.881435484528676e+42,12.828,0.01,12.663,0.021,9.345,0.032,7.111,0.064,6.380964983280141e+42,5.877281651756358e+40,2.9963665824215826e+42,5.795679755211007e+40,4.6582366055893366e+42,1.372971947897315e+41,5.0340295168773205e+42,2.967467341052243e+41,0.9834650006923653,0.05797344375590472,1.6819203445146043,0.05789603762462352,,20192927162.278927,185989925.68849233
2MASX J17060508+2756397,256.52113,27.944273,0.06347787,1.7651484e-05,SPEC,False,,,,286.57095,0.07603135,Redshift,0.09994909,20.8243,99.0,20.4871,0.225972,6.90093309687565e+42,,6.889553185249346e+42,1.4339559560747094e+42,14.69,0.109,14.133,0.134,13.483,0.149,5.451255508444678e+43,5.4728458066099086e+42,4.2256908015870966e+43,5.215460799222243e+42,3.7985395012554737e+43,5.2130643274750635e+42,,,,,,,,,,,,,,,,,,,,,,,
WISEA J170544.86+283940.9,256.4369321,28.6613726,0.060363997,1.089709e-05,SPEC,False,,,,271.91333,0.046937723,Redshift,0.0739325,,,,,,,,,14.71,0.11,14.069,0.128,13.543,0.149,4.725409460118125e+43,4.787648673712404e+42,3.986833941944786e+43,4.7003293316452346e+42,3.2092322725435764e+43,4.4043068924648194e+42,13.571,0.028,13.483,0.063,11.064,0.279,8.046,99.0,9.25546564311841e+42,2.3869671598770708e+41,4.0406970630694833e+42,2.3446983648517365e+41,2.7369696695832903e+42,7.033383980571593e+41,6.084234774331132e+42,,1.1886366451545585,,,,,29289448237.716488,755369354.3914781
WISEA J171639.99+323038.8,259.1666386,32.5107995,0.11081461,3.1705313e-05,SPEC,False,,,,516.7114,0.1365663,Redshift,0.034740604,,,,,,,,,15.735,0.093,14.842,0.053,14.698,0.172,6.446720960981268e+43,5.5221973283116683e+42,6.93633222898674e+43,3.386069789684177e+42,3.94997822081846e+43,6.257679523487053e+42,13.837,0.017,14.502,0.099,11.801,99.0,9.157,99.0,2.5972995573680413e+43,4.0668779431211256e+41,5.679641302854904e+42,5.1790036271349855e+41,5.003542079879802e+42,,7.888786405942223e+42,,1.5411799438543026,,,,,82193023967.34308,1286986690.8611157
WISEA J170936.47+275814.6,257.4019626,27.970742,0.0448279,1.7822758e-05,SPEC,False,,,,199.6915,0.07676909,Redshift,0.055217985,,,,,,,,,14.461,0.075,13.818,0.087,13.416,0.118,3.160936920884396e+43,2.1835705666956204e+42,2.685952296620941e+43,2.15232432130002e+42,1.9340195634978023e+43,2.1020014044850507e+42,11.732,0.007,11.631,0.01,9.131,0.036,7.953,0.219,2.7062668113604755e+43,1.744852807964313e+41,1.1969560553296722e+43,1.1024740098515225e+41,8.748491418990392e+42,2.9008535413884737e+41,3.573206047020228e+42,7.20762776307772e+41,0.6980735960576117,0.1408106491875043,,,,85641354789.88846,552168610.1152889
WISEA J171418.76+263835.2,258.5781984,26.6431209,0.111629,,PHOT,False,,,,520.7887,,Redshift,0.03893027,,,,,,,,,14.62,0.093,14.091,0.118,13.658,0.157,1.83454061942547e+44,1.5714494206972482e+43,1.4099554385114862e+44,1.532419117914492e+43,1.0471365245013625e+44,1.5142344490707377e+43,13.154,0.019,13.03,0.03,11.293,0.246,8.654,99.0,4.953149560636497e+43,8.66812491360879e+41,2.2396470291927995e+43,6.188578911381457e+41,8.116945404594074e+42,1.8391532008138237e+42,1.2737470458085846e+43,,2.4884352288524054,,,,,156745239260.64865,2743077504.306579
WISEA J172014.70+300212.0,260.0612547,30.0366703,0.047634955,1.373117e-05,SPEC,False,,,,212.62764,0.059145134,Redshift,0.03199844,,,,,,,,,14.431,0.083,13.716,0.109,13.497,0.152,3.620685123945782e+43,2.7679546501577276e+42,3.3091619382091404e+43,3.3222681958561857e+42,2.0200289604342044e+43,2.828077317598971e+42,13.152,0.014,13.309,0.042,12.48,99.0,9.06,99.0,8.261275313780942e+42,1.0652838056277659e+41,2.8847763433263917e+42,1.1159676321556327e+41,4.532761970911533e+41,,1.460572914271982e+42,,0.2853424552498011,,,,,26143276309.43336,337115128.36321706
WISEA J171025.13+284855.1,257.6047399,28.8153301,0.19963129,4.460535e-05,SPEC,False,,,,983.6536,0.19213144,Redshift,0.0426504,22.2777,99.0,22.5016,0.184019,1.3971526921536544e+43,,7.900232672756535e+42,1.3390375351192183e+42,15.621,0.266,14.994,0.302,13.758,0.192,2.6103410293744264e+44,6.395418552193586e+43,2.1934072900460342e+44,6.101214783879057e+43,3.4109946602812795e+44,6.032154095097469e+43,14.154,0.025,14.105,0.123,11.753,99.0,8.522,99.0,7.039433747145384e+43,1.620943549455191e+42,2.9699359646804295e+43,3.364668908901475e+42,1.8959748195250022e+43,,5.131983434900657e+43,,10.026016087979924,,9.441371168231406,,,222766890732.44885,5129568194.478452
