filename,area_50_deg2,area_90_deg2,total_area_deg2,area_50_sr,area_90_sr,total_area_sr,comoving_volume_50_Mpc3,comoving_volume_90_Mpc3,comoving_volume_total_Mpc3,expected_mass_50_Msun,expected_mass_90_Msun,expected_mass_total_Msun,expected_mass_50_err,expected_mass_90_err,expected_mass_total_err,observed_mass_50_Msun,observed_mass_90_Msun,observed_mass_total_Msun,num_galaxies_50,num_galaxies_90,num_galaxies_total,ratio_theory_50,ratio_theory_90,ratio_theory_total,ratio_obs_50,ratio_obs_90,ratio_obs_total
fisher_HLV_m1_50.0_m2_50.0_result.json,1.717929,5.652118,9.99284,0.0005233111542005702,0.0017217336447362271,0.003043993125960569,1332287.6877864022,4383328.194167476,7749642.886207928,526502475678382.1,1732233336010555.0,3062556385243719.5,21432.243343181504,70513.71664817732,124666.94219468937,19024280811350.73,23771265306305.17,37736826355505.33,74,91,137,9.366723639314381e-05,2.846962405452863e-05,1.6102897595146768e-05,0.002592267867572599,0.0020746069346952983,0.001306840998931747
fisher_HLV_m1_40.0_m2_40.0_result.json,2.111348,6.596323,11.238666,0.000643153403254136,0.002009355042464785,0.00342349358129686,1637391.7384245098,5115577.915698934,8715805.713228602,647075561711599.5,2021608742490276.8,3444371157682241.0,26340.39067368109,82293.27024137632,140209.40874127139,17206201396138.818,75050717109423.84,85865795051577.31,105,339,384,7.621371408386234e-05,2.4394449239566276e-05,1.4317862272464219e-05,0.002866177764373332,0.0006571027399916747,0.000574338499064961
fisher_HLV_m1_30.0_m2_30.0_result.json,2.334285,7.802808,13.087735,0.0007110640110511565,0.00237687127289572,0.003986752151848619,1810284.0337861038,6051230.337655797,10149794.751227707,715400310463755.9,2391366206325476.5,4011064662038362.5,29121.674160964183,97344.92205490837,163277.7011946194,14828273312790.844,105181468338522.84,123912088089725.38,94,487,529,6.893487622192045e-05,2.062253439916275e-05,1.2294997963428693e-05,0.0033258108217092642,0.0004688661665401034,0.00039799209755252027
fisher_HLV_m1_20.0_m2_20.0_result.json,2.635907,8.655216,13.913915,0.0008029430686588903,0.0026365294791784455,0.004238420874861107,2044197.1392753199,6712289.114038363,10790513.257567732,807839676422556.0,2652607892730780.5,4264268142708118.5,32884.5871143472,107979.2412709908,173584.81058866854,29270813278308.86,76605174735825.16,79429252625999.0,161,334,373,6.104680580846684e-05,1.859152722348763e-05,1.156494624646733e-05,0.001684819324357076,0.000643768936250195,0.000620879968280102
fisher_HLV_m1_10.0_m2_10.0_result.json,4.052215,12.799228,19.316868,0.0012343751652517268,0.003898867835876004,0.005884254428530076,3142571.7215725067,9926051.780759761,14980608.886331074,1241902786142138.2,3922644398947336.0,5920138524230970.0,50553.9175041457,159678.39315225306,240990.03392752947,73056515331387.66,180209775091841.06,216305145103975.0,431,1337,1496,3.9710058147255136e-05,1.2572139310964997e-05,8.330215863884478e-06,0.0006750394763183368,0.0002736590277958525,0.00022799287472906346
fisher_HLV_m1_5.0_m2_5.0_result.json,7.802808,24.365744,30.909611,0.00237687127289572,0.0074222299580508355,0.009415606033975146,6051230.337655797,18896110.869520117,23971008.245133974,2391366206325476.5,7467493128323924.0,9473025459343106.0,97344.92205490837,303977.9246689407,385616.7752662505,129305646807585.58,126694664521587.53,139901644917482.2,538,537,600,2.062253439916275e-05,6.604094708020365e-06,5.205943134281645e-06,0.0003813911694384672,0.00038925105518188176,0.00035250501793621087
