objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J143549.42+324745.3,218.9559396,32.7959334,0.029428475,1.4342598e-05,SPEC,False,,,,129.61978,0.061778776,Redshift,0.011039111,19.7254,0.0389596,19.484,0.0248427,2.0163810993334615e+42,7.235644918057385e+40,1.701005471799875e+42,3.8921957088737414e+40,,,,,,,,,,,,,14.028,0.028,13.925,0.048,11.841,0.348,9.06,99.0,1.3648552459368639e+42,3.5199363191417516e+40,6.062535690387325e+41,2.6803143980379206e+40,3.0312591270395848e+41,9.716110958737057e+40,5.424950383315324e+41,,0.10598366208612901,,0.182399556491186,,,4319162170.686278,111390389.84625795
WISEA J141833.98+331712.0,214.6415909,33.2866776,0.0815802,1.4757116e-05,SPEC,False,,,,372.97202,0.063564256,Redshift,0.00973167,19.8239,0.241292,19.7769,0.142358,1.510063952679284e+43,3.356050040577181e+42,1.0637893316774286e+43,1.3948505109591223e+42,,,,,,,,,,,,,15.207,0.106,15.73,0.306,11.547,99.0,8.896,99.0,3.81410369653055e+42,3.723818311478179e+41,9.51901808364484e+41,2.6828948831434196e+41,3.2900712397824857e+42,,5.223860996167524e+42,,1.0205511193346297,,1.5656284790432953,,,10750953196.284323,1049646248.8575066
WISEA J143735.84+331805.4,219.3993662,33.3015274,0.192326,8.59313e-06,SPEC,False,,,,943.6022,0.037013732,Redshift,0.008379688,21.1274,0.0783509,20.7259,0.0439666,2.880650629799813e+43,2.078857733734715e+42,2.8094448392263465e+43,1.1377151971992385e+42,,,,,,,,,,,,,16.466,0.228,15.376,99.0,11.617,0.249,9.289,0.505,7.654387867624804e+42,1.6074426040084983e+42,8.439997032256601e+42,,1.9742502074515212e+43,4.527846106466188e+42,2.328102617691628e+43,1.0828882147527515e+43,4.548259867852882,2.1155669733382747,5.276140657178149,1.8641622577663013,,14861301720.554762,3120914428.4005694
2MASX J14192177+3421198,214.840909,34.355404,0.076474406,9.935022e-06,SPEC,False,,,,348.39816,0.042793747,Redshift,0.013770552,19.6563,0.128251,19.3917,0.0684884,1.584058115321473e+43,1.871208070131245e+42,1.3685259453533155e+43,8.632968455117152e+41,14.462,0.111,13.863,0.152,13.049,0.132,9.319231264383424e+43,9.527813252293476e+42,7.69379028589702e+43,1.0771446918674204e+43,8.145898691882353e+43,9.903827565058033e+42,,,,,,,,,,,,,,,,,,,,,,,
WISEA J143113.15+340933.6,217.8048168,34.1593586,0.126616,1.97866e-05,SPEC,False,,,,596.51495,0.08522806,Redshift,0.012265794,,,21.9558,0.122559,,,3.7350438109036696e+42,4.216295876677183e+41,17.584,0.308,15.944,0.24,15.437,0.274,1.5387992988750154e+43,4.3653880982836876e+42,3.3153298148840023e+43,7.328719534479334e+42,2.646189304326754e+43,6.678233384481885e+42,15.337,0.09,15.031,0.196,12.361,99.0,9.097,99.0,8.659321282946433e+42,7.17821655161181e+41,4.6368453953324396e+42,8.370836328276582e+41,3.9769411877959456e+42,,1.1104767164709376e+43,,2.1694648016493963,,,,,25034742443.216717,2075275840.903899
WISEA J142838.24+323408.2,217.1593487,32.5689636,0.12840728,3.093452e-05,SPEC,False,,,,605.65344,0.13324621,Redshift,0.008381846,21.5207,99.0,21.1549,0.224874,8.261278315688325e+42,,7.796493307489032e+42,1.6148371440813446e+42,15.113,0.141,14.513,0.197,14.064,0.194,1.5400187295603057e+44,2.0000243210143558e+43,1.2745201414973777e+44,2.312613484257797e+43,9.64911276345537e+43,1.724166519235483e+43,13.94,0.027,13.739,0.051,11.211,0.146,8.769,99.0,3.229845653756443e+43,8.03222315801406e+41,1.5704105990304233e+43,7.376893260516694e+41,1.1821494588199443e+43,1.5897009461416367e+42,1.5483621937678874e+43,,3.0249326525811817,,3.0273714902740543,,,102210305498.62161,2541842771.5234365
WISEA J142337.03+344741.1,215.9041111,34.7946357,0.179445,3.50166e-06,SPEC,False,,,,873.6808,0.015082922,Redshift,0.0134432865,,,,,,,,,,,,,,,,,,,,,16.203,0.253,15.594,99.0,11.798,99.0,8.81,99.0,8.368361560162653e+42,1.9500740837096978e+42,5.923121397001738e+42,,1.4329682185724093e+43,,3.103024281681199e+43,,6.062172991041676,,,,,14424413238.86396,3361312035.5283675
WISEA J140214.39+350413.2,210.559994,35.0703388,0.012723158,8.150431e-05,SPEC,False,,,,55.34116,0.35106865,Redshift,0.007912883,20.4023,99.0,20.8255,0.299547,1.9255480960291353e+41,,8.782567311721832e+40,2.4231293136314162e+40,,,,,,,,,,,,,14.141,0.041,14.299,0.107,11.983,99.0,8.871,99.0,2.2407438129870194e+41,8.461867798787525e+39,7.827725456201186e+40,7.714530483883619e+39,4.847421722817657e+40,,1.1768349811185984e+41,,0.022991045476398773,,0.028745187882805737,,,709096143.3503226,26778062.6543909
WISEA J141847.96+334108.8,214.6998408,33.6857789,0.05782229,1.1151117e-05,SPEC,False,,,,259.99393,0.04803191,Redshift,0.014611814,19.5622,0.215397,19.4606,0.124672,9.68010453726247e+42,1.920480063611067e+42,7.202653732963659e+42,8.270878319701111e+41,15.607,0.123,14.977,0.111,14.594,99.0,1.8089571870526125e+43,2.0493851791816553e+42,1.5363342431619637e+43,1.570720099156691e+42,1.0935294330752606e+43,,12.824,0.01,12.751,0.028,10.354,0.088,8.554,99.0,1.6655339083005507e+43,1.5340645607305239e+41,7.195090061338851e+42,1.8556003475694126e+41,4.7982431540798034e+42,3.889153706695288e+41,3.4787180877246454e+42,,0.6796141093496963,,1.0259844511142013,,,52706769250.017426,485463468.5856088
WISEA J142902.33+332443.2,217.2597639,33.412032,0.0846917,6.62931e-06,SPEC,False,,,,388.0256,0.028554846,Redshift,0.011961662,21.5476,0.0948905,21.2295,0.058272,3.396458998734095e+42,2.96851459241554e+41,3.077514363754527e+42,1.6517722684573392e+41,,,,,,,,,,,,,15.543,0.096,15.435,99.0,11.876,99.0,9.232,99.0,3.030664115974144e+42,2.6797802530032266e+41,1.3523340025693983e+42,,2.6303914177607758e+42,,4.149390941455471e+42,,0.8106390221650439,,0.8635614674360178,,,8543813646.412619,755462902.4812515
