objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J171658.85+305442.4,259.2452451,30.9118048,0.09134462,9.496476e-06,SPEC,False,,,,420.40988,0.04090477,Redshift,0.029833952,,,,,,,,,15.904,0.113,15.363,0.335,14.827,99.0,3.6391025395483884e+43,3.7875894700214116e+42,2.835218380139072e+43,8.748256076226208e+42,2.3182672994384646e+43,,13.307,0.017,13.174,0.041,11.031,0.185,8.554,99.0,2.7988629184984053e+43,4.382487331813978e+41,1.2767292827825565e+43,4.821396107282656e+41,6.730128777184961e+42,1.1467935959873999e+42,9.099258138530264e+42,,1.777661787938968,,,,,88571611344.88625,1386863079.6879678
WISEA J171537.59+285615.4,258.9066637,28.9376364,0.12419158,3.0096178e-05,SPEC,False,,,,584.17596,0.12963517,Redshift,0.05885061,,,,,,,,,15.631,0.124,15.087,0.249,14.452,0.093,9.233466326797357e+43,1.0545729534050472e+43,7.154865822288991e+43,1.6409336263479617e+43,6.381663578897725e+43,5.4664706800751114e+42,13.918,0.038,14.283,0.073,12.023,0.522,8.481,99.0,3.094761279779025e+43,1.0831806309181984e+42,8.909382056506024e+42,5.990465960290245e+41,5.218889698006821e+42,2.5092200995436644e+42,1.8804708633298455e+43,,3.673751361024705,,,,,97935483537.31091,3427786806.7031593
WISEA J171709.16+295032.9,259.2882038,29.8424845,0.088761054,1.8177208e-05,SPEC,False,332.2796,78.3975,FP,407.8021,0.07829584,Redshift,0.051291328,,,,,,,,,13.572,0.074,13.045,0.098,12.254,0.088,2.980711222895028e+44,2.0316168138305092e+43,2.2786782005147404e+44,2.056833878019021e+43,2.34906722481574e+44,1.9040058140136232e+43,12.355,0.009,12.342,0.028,11.272,0.276,8.148,99.0,6.353874772878694e+43,5.2670964640248455e+41,2.5920300322592714e+43,6.684797206622552e+41,5.077263298388657e+42,1.2907106824329749e+42,1.2450731551125205e+43,,2.4324169479926816,,,,,201071986483.50296,1666802678.4888752
WISEA J171335.92+275541.9,258.3997006,27.9283254,0.12617742,2.4919269e-05,SPEC,False,,,,594.2803,0.10733634,Redshift,0.03777639,22.5854,99.0,22.6959,0.181471,3.705536995384649e+42,,2.3157839134831583e+42,3.870752658542026e+41,15.214,0.163,14.761,0.118,13.909,0.199,1.3810574394520575e+44,2.0734303830957657e+43,9.899907977012928e+43,1.0759776805947437e+43,1.0816896022627693e+44,1.982649292284352e+43,13.317,0.023,13.232,0.041,11.467,99.0,8.911,99.0,5.549438091411875e+43,1.1756200883097643e+42,2.420890709041908e+43,9.142168018412118e+41,9.003848647510721e+42,,1.3089701561965287e+43,,2.5572482863959274,,2.414401842357189,,,175615129475.05933,3720316735.1574817
WISEA J171558.33+294918.9,258.9930518,29.8219207,0.089534685,2.0236423e-05,SPEC,False,369.2031,87.1092,FP,411.57315,0.087165624,Redshift,0.03810938,,,,,,,,,15.155,0.17,14.48,0.193,13.728,0.181,6.995705477339322e+43,1.0953946791035238e+43,6.151908872345943e+43,1.0935970673518219e+43,6.130006158118312e+43,1.0219499169293944e+43,13.754,0.029,13.818,0.078,12.154,99.0,8.957,99.0,1.7798658155075743e+43,4.754177535847915e+41,6.768702634637128e+42,4.8628420730143556e+41,2.2937522106205493e+42,,6.017904447965234e+42,,1.1756781286725517,,,,,56324867579.353615,1504486561.9771883
WISEA J171332.16+272535.8,258.3840301,27.4266287,0.067088,,PHOT,False,,,,303.64023,,Redshift,0.038525492,19.6775,0.0374022,19.2534,0.0170331,1.4162713605964624e+43,4.879033067788749e+41,1.4491925724825287e+43,2.273578400578443e+41,13.258,0.058,12.67,0.069,12.247,0.092,2.1857023773846765e+44,1.167640651918191e+43,1.7738578313059687e+44,1.1273479733842023e+43,1.3053975317725557e+44,1.1061671912856425e+43,12.171,0.007,12.147,0.018,10.026,0.087,8.242,99.0,4.163369151743107e+43,2.684312394715183e+41,1.7169323071339837e+43,2.8465303267347264e+41,8.862988731107111e+42,7.102146275295443e+41,6.328115217176788e+42,,1.236281951779784,,1.714035415594579,,,131752188346.30086,849465947.6946782
WISEA J171642.28+302036.9,259.1761691,30.3435865,0.08663764,1.7923006e-05,SPEC,False,,,,397.47,0.0772009,Redshift,0.038300656,22.0128,0.239472,21.1272,0.0887505,2.819657342967607e+42,6.219295946387521e+41,4.4125444462598706e+42,3.60703260120607e+41,13.817,0.073,12.986,0.092,12.504,0.092,2.2377330440322895e+44,1.5046007081883774e+43,2.2717633953385044e+44,1.925046021565049e+43,1.7652326805470808e+44,1.4958220232583946e+43,12.467,0.01,12.359,0.019,10.235,0.091,8.46,0.298,5.4314681765037825e+43,5.002733797129439e+41,2.420084948996769e+43,4.235203764489194e+41,1.2527530771552229e+43,1.050018701731787e+42,8.870782731482947e+42,2.4348282620626742e+42,1.7330260611128447,0.4756762689624917,1.6498534958448832,0.4195410508660647,,171881904319.73996,1583143606.6865313
WISEA J171422.13+290444.2,258.5922425,29.0789553,0.10534327,2.5020037e-05,SPEC,False,483.8793,114.1657,FP,489.42108,0.10777038,Redshift,0.04161945,,,,,,,,,15.339,0.189,14.648,0.201,13.869,0.191,8.372276418462771e+43,1.4574562875355676e+43,7.464348265297447e+43,1.3819049861074302e+43,7.621119258830051e+43,1.3407328687620918e+43,13.753,0.029,13.862,0.084,11.996,99.0,8.688,99.0,2.520792404099644e+43,6.733257482880773e+41,9.195401662382737e+42,7.11443020761657e+41,3.752249268650109e+42,,1.0903222643532177e+43,,2.130090383602275,,,,,79771911522.14062,2130777684.455941
WISEA J171347.57+273234.0,258.448211,27.542744,0.064561926,1.0633284e-05,SPEC,False,,,,291.68805,0.045801412,Redshift,0.03714699,,,,,,,,,13.247,99.0,12.91,0.107,12.551,0.06,2.035455875512258e+44,,1.3114698236318466e+44,1.2925050295678078e+43,9.100601443732918e+43,5.029345265576559e+42,11.347,0.007,11.364,0.011,10.524,0.093,8.617,0.339,8.204530210741008e+43,5.289832977317599e+41,3.258329672451142e+43,3.3012456506844724e+41,5.1697446295443575e+42,4.428352287122899e+41,4.1340684356742624e+42,1.290825276789645e+42,0.8076455657086994,0.2521799837437442,,,,259637031985.47495,1673997777.6321514
WISEA J171630.63+304309.2,259.1276266,30.7192453,0.08450202,1.0321611e-05,SPEC,False,,,,387.10617,0.044458926,Redshift,0.03162745,21.8967,0.198406,20.3037,0.0419339,2.8334411402463746e+42,5.177965136645845e+41,8.455745545363372e+42,3.2659333889225044e+41,13.219,0.047,12.553,0.07,12.127,0.071,3.6634579788557885e+44,1.5859124317732785e+43,3.2008355171438664e+44,2.063723864018509e+43,2.3644311545399502e+44,1.5462339578040161e+43,12.061,0.007,11.993,0.015,11.415,0.21,8.911,0.446,7.478917050629953e+43,4.821997179632524e+41,3.2130129989248616e+43,4.439089294363502e+41,4.006597349427516e+42,7.749703769562398e+41,5.553155653105983e+42,2.281207784113097e+42,1.0848832351730886,0.4456644537860961,1.0800365750826262,0.392893459181252,,236674590209.80862,1525948474.5672543
