objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
GALEXMSC J142833.01+344512.1,217.13827416667,34.75294694444,0.122,,SPEC,False,,,,573.05145,,Redshift,0.011351966,22.0133,0.159675,21.9154,0.144392,4.802412492678765e+42,7.062956592391404e+41,3.550707120409429e+42,4.722240428709273e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142728.81+334044.1,216.87020916667,33.679195,0.151,,SPEC,False,,,,722.49445,,Redshift,0.008117016,21.6634,0.107748,21.5086,0.0804886,1.0288221242409391e+43,1.0210326945134696e+42,7.99258436250306e+42,5.925319539078411e+41,,,,,,,,,,,,,15.823,0.121,15.54,99.0,11.825,99.0,8.786,99.0,8.1129892547134e+42,9.041833131380116e+41,4.2542129409197174e+42,,9.55626340790267e+42,,2.1691541422016946e+43,,4.237732760227328,,4.1843396279332445,,,16901522999.149542,1883655281.9999006
WISEA J142250.22+350545.8,215.7092686,35.0960585,0.17637588,3.356682e-05,SPEC,False,749.1703,176.758,FP,857.1535,0.14458448,Redshift,0.017731968,,,,,,,,,14.388,0.123,13.959,0.204,13.048,0.153,6.056659719907973e+44,6.861647977092023e+43,4.270789072074924e+44,8.024694003376302e+43,4.9414492898881356e+44,6.963632705084071e+43,12.436,0.01,12.288,0.026,11.648,99.0,8.525,99.0,2.5893617730607058e+44,2.3849694556915328e+42,1.1983946575541421e+44,2.869877306632751e+42,1.5839417584967363e+43,,3.8836882964249097e+43,,7.587304564518579,,,,,819418282614.1473,7547371695.226369
WISEA J142606.57+344417.8,216.5274124,34.7382946,0.155651,1.35417e-05,SPEC,False,,,,746.90704,0.058329023,Redshift,0.011853545,22.9438,0.32276,22.2204,0.170437,3.4754595006544126e+42,1.0331944551154971e+42,4.5736604652443394e+42,7.179892225942992e+41,16.176,0.209,15.46,0.416,14.447,0.165,8.821419723928826e+43,1.6981457132839704e+43,8.115847555860104e+43,3.1096922424699473e+43,1.032414249450702e+44,1.569018586490819e+43,14.057,0.028,13.788,0.072,11.03,0.141,8.736,99.0,4.413076703827167e+43,1.1381242332867835e+42,2.28396874577755e+43,1.514651806446874e+42,2.124372465088623e+43,2.7589253556997095e+42,2.427704182655118e+43,,4.7428448475940055,,4.327761327502482,,,139654326070.47995,3601658966.097416
WISEA J142536.43+344622.3,216.401822,34.7728722,0.129532,9.2085e-06,SPEC,False,,,,611.4009,0.039664354,Redshift,0.012112277,21.1504,0.105893,20.5182,0.0519138,1.2170811244396355e+43,1.1870715284012871e+42,1.472966309105995e+43,7.043130836337375e+41,,,,,,,,,,,,,15.307,0.084,15.372,99.0,12.214,0.491,8.785,99.0,9.35149434394753e+42,7.235198809586207e+41,3.558146301414871e+42,,4.783606799395387e+42,2.1633518468447703e+42,1.5549537008790527e+43,,3.037810043394867,,3.2115061512197447,,,24365106021.362328,1885114609.4666512
WISEA J142601.35+333213.5,216.50559708333,33.53701277778,0.158,,SPEC,False,,,,759.28284,,Redshift,0.008808256,21.5297,0.10691,21.1921,0.0689455,1.2917324209283915e+43,1.2719823217201006e+42,1.1882572465416624e+43,7.545821438417322e+41,,,,,,,,,,,,,16.051,0.141,15.948,99.0,12.092,99.0,8.803,99.0,7.263969469708277e+42,9.43372668268098e+41,3.226975011659979e+42,,8.25354440851133e+42,,2.3585007965433237e+43,,4.607646776263332,,4.626104829611009,,,13581562922.12521,1763839358.9794202
SSTSL2 J142823.64+340142.4,217.0985296,34.0284245,0.163841,6.75043e-05,SPEC,True,,,,790.18964,0.29076552,Redshift,0.0125830015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142705.09+340643.8,216.77126,34.112215,0.127,,SPEC,False,,,,598.4724,,Redshift,0.012508534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142800.44+332426.7,217.0018659,33.4074395,0.148148,4.48294e-06,SPEC,False,,,,707.5849,0.01930965,Redshift,0.0074354024,21.9247,0.119163,21.4431,0.0687792,7.718362153397141e+42,8.471429790296064e+41,8.09702790454064e+42,5.129474714972886e+41,,,,,,,,,,,,,14.014,0.019,13.758,0.086,11.547,0.257,9.129,0.433,4.117323758267988e+43,7.205410876236349e+41,2.1060547505337767e+43,1.6682388807209105e+42,1.184027284236503e+43,2.802753853588317e+42,1.5169490818625335e+43,6.049911779269858e+42,2.9635629366941916,1.1819311889691049,2.9493635195529566,1.040883431349924,,130295055641.39201,2280193315.2646675
SDSS J142451.68+345912.6,216.21540208333,34.98683777778,0.108,,PHOT,False,,,,502.65045,,Redshift,0.012511898,,,22.4298,0.189707,,,1.717389249553714e+42,3.0008356010554648e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
